user;tweet;coordenadas;cidade;horario
kah_fm;Luccas Carlos essas horas é pra acabar mas né vamo faze oq;;Colombo, Brasil;2017-09-30 04:54:37
Hbriiele;@harmo_crazyy assiste kkkkkk;{u'type': u'Point', u'coordinates': [-49.20151722, -25.36575376]};Colombo, Brasil;2017-09-30 04:59:50
larissa_lds;maionse é a melhor invenção do mundo simplesmente;;Colombo, Brasil;2017-09-30 05:01:23
Hbriiele;ficar sem fone é horrível;{u'type': u'Point', u'coordinates': [-49.20151722, -25.36575376]};Colombo, Brasil;2017-09-30 05:01:44
Hbriiele;Essa chuvinha mó gostosinha;{u'type': u'Point', u'coordinates': [-49.20151722, -25.36575376]};Colombo, Brasil;2017-09-30 05:02:10
Hbriiele;Que fome;{u'type': u'Point', u'coordinates': [-49.20141298, -25.36583985]};Colombo, Brasil;2017-09-30 05:02:32
Hbriiele;Dormir ou ficar deitada cmg é um pouco chato, não paro de me coçar e se mexer;{u'type': u'Point', u'coordinates': [-49.20141298, -25.36583985]};Colombo, Brasil;2017-09-30 05:03:57
Hbriiele;@harmo_crazyy pq não?;{u'type': u'Point', u'coordinates': [-49.20141298, -25.36583985]};Colombo, Brasil;2017-09-30 05:04:30
Hbriiele;Acabou o filme;{u'type': u'Point', u'coordinates': [-49.20141298, -25.36583985]};Colombo, Brasil;2017-09-30 05:04:57
jujubaverde_;vcs conseguem comer assistindo greys anatomy? Pq eu não;;Colombo, Brasil;2017-09-30 05:15:21
Hbriiele;Papo com a gabibibi rendeu hj, sdd disso;{u'type': u'Point', u'coordinates': [-49.20158536, -25.36571748]};Colombo, Brasil;2017-09-30 05:25:48
Hbriiele;@harmo_crazyy aaaa que pena :(;{u'type': u'Point', u'coordinates': [-49.20155945, -25.36569165]};Colombo, Brasil;2017-09-30 05:34:59
Hbriiele;Será que vou sonhar hj de novo com a pessoaaaaaa;{u'type': u'Point', u'coordinates': [-49.20155945, -25.36569165]};Colombo, Brasil;2017-09-30 05:37:00
OpaMorenaa_;Milk shake de blue 😋;;Colombo, Brasil;2017-09-30 05:42:27
Hbriiele;cada coisaaaaa hahaha;{u'type': u'Point', u'coordinates': [-49.20149815, -25.3657945]};Colombo, Brasil;2017-09-30 05:45:31
Crix_;vou começar 2018 perdendo o amor do Dio https://t.co/8qzMRBZ8PX;;Colombo, Brasil;2017-09-30 05:53:42
larissa_lds;"mulheres com a sobrancelha chaviada&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;";;Colombo, Brasil;2017-09-30 05:58:17
Hbriiele;Aumentou a chuva, ai simmmmmm;{u'type': u'Point', u'coordinates': [-49.20155945, -25.36569165]};Colombo, Brasil;2017-09-30 06:08:19
Hbriiele;💤;{u'type': u'Point', u'coordinates': [-49.20143453, -25.36578573]};Colombo, Brasil;2017-09-30 06:21:38
nicolaseckitor;apesar de eu ter me molhado todo! GRAÇAS A DEUS POR ESSA CHUVA 😍☔;;Colombo, Brasil;2017-09-30 06:34:07
Crix_;não acredito que o rato comeu dois pacotes de pipoca e eu e meu pai não percebemos;;Colombo, Brasil;2017-09-30 09:05:26
porra_fabss;Bom diaaaa;;Colombo, Brasil;2017-09-30 10:21:31
GiiiihOliveira_;Enfim hoje é o casamento, meu Deus;;Colombo, Brasil;2017-09-30 10:23:01
RoubadoO;@pefabiodemelo Esqueceu cheio de sexo... O que já é melhor que muita coisa!;;Colombo, Brasil;2017-09-30 10:24:24
RoubadoO;@JornalOGlobo o que resolve não é parar com vício que estimula a produção de dopamina... É apenas substituir por ou… https://t.co/kTtnLrKSmu;;Colombo, Brasil;2017-09-30 10:34:04
cecilia_bs;Alguém me ajuda a desvincular do meu celular uma conta do facebook;;Colombo, Brasil;2017-09-30 11:07:30
cecilia_bs;Já fiz de tudo e essa bosta entra direto, socorro;;Colombo, Brasil;2017-09-30 11:09:55
cecilia_bs;"As ""amigas"" de vocês também dão moralzinha p seu ex?";;Colombo, Brasil;2017-09-30 11:16:45
cecilia_bs;A menina n tem nem vergonha na cara;;Colombo, Brasil;2017-09-30 11:17:18
malumereth;faz dois dias que a minha mãe está me ignorando;;Colombo, Brasil;2017-09-30 11:18:01
cecilia_bs;Tinha que agradecer o meu ex por me ajudar, porque ele da em cima das meninas e elas retribuem, só me ajuda a eliminar as amizades;;Colombo, Brasil;2017-09-30 11:18:18
malumereth;Eu mando mensagem pra ela e ela não me responde, porém ela fica postando foto na história do Whatsapp;;Colombo, Brasil;2017-09-30 11:18:59
Tahta_;Aaaa eu sabia;;Colombo, Brasil;2017-09-30 11:20:06
olenic_;Victor vai vir aq em casa hj;;Colombo, Brasil;2017-09-30 11:45:09
olenic_;Só tô por hj a noite que vou ver meus melhores e o Victor vai tá junto 💕;;Colombo, Brasil;2017-09-30 11:45:38
olenic_;Acordei ouvindo um turma do pagode;;Colombo, Brasil;2017-09-30 11:47:26
amandacarolinx;ando tendo uns sonhos que só por Deus;;Colombo, Brasil;2017-09-30 11:56:58
lukaxx_prc;"Nossa, elas estão descontroladas 🎶🤷
Aos ""rivais"", seca mais, mas seca mesmo! Porque ainda estamos em terceiro, você… https://t.co/nq5KPSByhC";;Colombo, Brasil;2017-09-30 11:59:39
aaniluj;Bom dia!!;;Colombo, Brasil;2017-09-30 12:03:07
lukaxx_prc;Fazia tanto tempo que o Paraná não perdia que eu nem sei reagir a isso mais 🤷;;Colombo, Brasil;2017-09-30 12:07:31
jujubaverde_;"sábado 9:06 e eu tentando criar teorias de como h2o meninas sereias lavam a larissinha

Obrigada, ldrv.";;Colombo, Brasil;2017-09-30 12:07:39
_eduardabp;Como assim eu já acordei;;Colombo, Brasil;2017-09-30 12:08:54
olenic_;Tenho que limpar a casa;;Colombo, Brasil;2017-09-30 12:17:14
pdc_brayan;quem vai me matar sou eu mesmo,e não essa vidinha chata;;Colombo, Brasil;2017-09-30 12:17:59
pdc_brayan;dormi no meio do episódio e agora não sei onde parei,droga;;Colombo, Brasil;2017-09-30 12:19:05
olenic_;Eu podia morrer ouvindo esse som do djonga cm a Lívia cruz;;Colombo, Brasil;2017-09-30 12:19:19
pdc_brayan;vamos voltar à realidade;;Colombo, Brasil;2017-09-30 12:19:20
pdc_brayan;Jah já chamou;;Colombo, Brasil;2017-09-30 12:21:45
_spegiorin;Que gripe;;Colombo, Brasil;2017-09-30 12:29:10
TorquatoNataly;"""aquela tequila não devia ter tomado"" minha mãe kakakaka";;Colombo, Brasil;2017-09-30 12:38:12
TorquatoNataly;ah arrependida;;Colombo, Brasil;2017-09-30 12:38:24
TorquatoNataly;ah tenho que levantar 😩😩😩;;Colombo, Brasil;2017-09-30 12:38:42
TorquatoNataly;fazer escova no cabelo quando tem chuva é um saco porque vai ficar tudo uma boxxxta;;Colombo, Brasil;2017-09-30 12:39:34
EmilyShizue;Um tempinho desse única vontade é de ficar na cama o dia todo;;Colombo, Brasil;2017-09-30 12:54:41
EmilyShizue;Amanhã podia não chover né;;Colombo, Brasil;2017-09-30 12:55:06
EmilyShizue;Já me dá uma tristeza em pensar que amanhã tenho vestibular até as 20:00 da noite;;Colombo, Brasil;2017-09-30 12:55:44
olenic_;Quem dorme de meia e shorts, eu;;Colombo, Brasil;2017-09-30 13:09:36
97Reinaldo;Ta constando o rolê do fim de semana haha é noiz 👊✌ em Colombo Park Shopping https://t.co/LHoZYgNqTP;{u'type': u'Point', u'coordinates': [-49.18442676, -25.3610072]};Colombo, Brasil;2017-09-30 13:38:21
rnathanlara;Vcs // nós hehe seguemo fluxo. https://t.co/6wsr8PLafn;;Colombo, Brasil;2017-09-30 13:39:45
heyHiatos;Trabalhando o nome https://t.co/OqIevOcRt0;;Colombo, Brasil;2017-09-30 13:39:55
heyHiatos;Estou acordando cedo errado então https://t.co/DmCDNNwqw5;;Colombo, Brasil;2017-09-30 13:40:36
pqka_;🤷🏻‍♀️ (@ Salão de Beleza DETO in Colombo, pr) https://t.co/88y1cbjQa1;{u'type': u'Point', u'coordinates': [-49.154972, -25.357624]};Colombo, Brasil;2017-09-30 13:41:13
BiancaaAndradee;Amanhã tem UP e eu to como? Sla nem eu sei;;Colombo, Brasil;2017-09-30 13:45:34
FelipeBacil1;Contra o PSG... https://t.co/itx6SKVP4Q;;Colombo, Brasil;2017-09-30 13:51:40
eta_menina;O SER HUMANO ME DA NOJO https://t.co/RryDgd27wE;;Colombo, Brasil;2017-09-30 14:06:31
oscarmolina73;"Faleceu Adelar Bertussi.

Grande cantor.

Meus sentimentos para a família.";;Colombo, Brasil;2017-09-30 14:12:31
biiiaaaahh_;@JoaoV_ictor_ num tô não 🙈😂;;Colombo, Brasil;2017-09-30 14:14:51
biiiaaaahh_;@JoaoV_ictor_ saudade de você, bobinho;;Colombo, Brasil;2017-09-30 14:15:16
action_kau;#NewProfilePic https://t.co/EwcKlC17aK;;Colombo, Brasil;2017-09-30 14:26:17
5HDEMICAMZ;Priscila Alcântara -liberdade #RecomendeUmaMusica;;Colombo, Brasil;2017-09-30 14:42:51
5HDEMICAMZ;Post Malone-Congratulations ft.  Quavo#RecomendeUmaMusica;;Colombo, Brasil;2017-09-30 14:44:34
5HDEMICAMZ;Camila Cabello-Havana  #RecomendeUmaMusica;;Colombo, Brasil;2017-09-30 14:45:05
Luaaneexx;Eu sou doido, ela é doidinha vamoo junto p rolee 😝💃🏻🕺🏻🎶;;Colombo, Brasil;2017-09-30 14:55:24
rnathanlara;Malandro q dor de cabeça shdhhdhfhhdhdhhahshhc;;Colombo, Brasil;2017-09-30 14:56:04
rnathanlara;O bom de ser idiota e rir dessas coisas kkkjjjjjkkkkkkkkkkkklll https://t.co/VvOjjVyD35;;Colombo, Brasil;2017-09-30 14:59:21
malumereth;limpando a casa ouvindo Vanessa da Mata;;Colombo, Brasil;2017-09-30 15:00:11
rnathanlara;Q duvida q ele ia voltar de civicao em alta classe https://t.co/bfYYrJyKbc;;Colombo, Brasil;2017-09-30 15:01:11
ra_chey;"""Ei cara, minha bera não. Ta louco?"" https://t.co/mKSF2lMK3s";;Colombo, Brasil;2017-09-30 15:02:44
rnathanlara;Malandro tenho q ir no vita, no gui ver o fusion e ainda trabalhar um golinho a mais pqp;;Colombo, Brasil;2017-09-30 15:04:04
ThiagoMazuquini;Bom dia !!!!;;Colombo, Brasil;2017-09-30 15:09:32
shhinees;Hoje o rolê vai ser na casa da Ana, com as melhores pessoas 😍😍;;Colombo, Brasil;2017-09-30 15:15:14
sraparronchi;@celso_joaquim Já seguindo;;Colombo, Brasil;2017-09-30 15:15:18
viniciusloch;Caramba o Otávio continua marcando a distância e recuando a bola;;Colombo, Brasil;2017-09-30 15:21:18
Vulgofeijao97;Vou dar uma ducha no goleta pq tá fei slc;;Colombo, Brasil;2017-09-30 15:21:28
olenic_;Vou fazer uma reuniãozinha cm os melhores aq em casa hj;;Colombo, Brasil;2017-09-30 15:26:49
AlendeGomes;#SabadoDetremuraSDV Fome! https://t.co/HxII4FeN8Q;;Colombo, Brasil;2017-09-30 15:27:54
olenic_;Meu pai e chato dmsssss;;Colombo, Brasil;2017-09-30 15:30:10
olenic_;Que meu pra sempre seja só com voce... Só com você;;Colombo, Brasil;2017-09-30 15:33:37
Luaaneexx;bebendo pra esquece teu rosto, fumando pra tira teu gosto. 🎶;;Colombo, Brasil;2017-09-30 15:35:57
Luaaneexx;As vezes me apaixono, as vezes até amo 🎶🤔;;Colombo, Brasil;2017-09-30 15:36:47
Luaaneexx;Caminhando sozinho, meus pensamentos se perdiam no ar 🎶;;Colombo, Brasil;2017-09-30 15:39:08
Hbriiele;hmmmmmmm;{u'type': u'Point', u'coordinates': [-49.18317859, -25.3577082]};Colombo, Brasil;2017-09-30 15:39:52
Luaaneexx;O beck está queimando fumaça sobe, tenho a impressão de estar ouvindo vozes. 🎶;;Colombo, Brasil;2017-09-30 15:41:07
Jowwwef;E esse sol galera? Kkk;;Colombo, Brasil;2017-09-30 15:42:29
olenic_;Andreson dizendo q vai vir me ver de qualquer jeito hj foi a melhor coisa dá manhã toda;;Colombo, Brasil;2017-09-30 15:43:25
Luaaneexx;Enrolando um baseado com os irmãos, diretoria presente sem confusão. 🎶;;Colombo, Brasil;2017-09-30 15:43:29
Luaaneexx;minha casa é área sujeita a neblina KKKKK 👭🌬💨;;Colombo, Brasil;2017-09-30 15:47:00
ghost_tosin;Alguém me manda forças pra sair da cama;;Colombo, Brasil;2017-09-30 15:50:21
TorquatoNataly;@_enaitat_ tô com 10 já rsrsrs;;Colombo, Brasil;2017-09-30 15:51:29
TorquatoNataly;já tô aqui no curso 😴☹️;;Colombo, Brasil;2017-09-30 15:54:02
danielpeixoto;I'm at Clash Decor in Colombo, PR https://t.co/w1GdG1tJCn https://t.co/mbpXRK1fYz;{u'type': u'Point', u'coordinates': [-49.156792, -25.308641]};Colombo, Brasil;2017-09-30 15:54:12
Jowwwef;Já q saiu sol, bora tomar uma.;;Colombo, Brasil;2017-09-30 16:04:49
EuMedeirox;Oi @ estou afim de um remember..;;Colombo, Brasil;2017-09-30 16:07:18
pdc_brayan;existe saudades no fundo do copo do meu pai e na ponta do meu cigarro tem angústias do mundo;;Colombo, Brasil;2017-09-30 16:11:16
Jowwwef;Esse tal de neymar parece eu jogando.;;Colombo, Brasil;2017-09-30 16:13:18
Francii_Japa;As pessoas fazem umas comparações bem esdrúxulas.😴;;Colombo, Brasil;2017-09-30 16:15:00
pdc_brayan;deus perdoe pessoas ruins,elas não sabem o que falam;;Colombo, Brasil;2017-09-30 16:16:14
Jowwwef;Esse mbappé é um baita de um meninote.;;Colombo, Brasil;2017-09-30 16:19:04
Jowwwef;Esse Otávio é aquele q jogava no melhor do sul do Brasil?;;Colombo, Brasil;2017-09-30 16:26:47
Jgscoimbra;acho que vou comprar o livro do Stephen King;;Colombo, Brasil;2017-09-30 16:27:58
olenic_;Pretaaaaa;;Colombo, Brasil;2017-09-30 16:30:15
biiiaaaahh_;só eu sei;;Colombo, Brasil;2017-09-30 16:32:02
biiiaaaahh_;se ao menos eu tivesse o seu carinho;;Colombo, Brasil;2017-09-30 16:32:12
biiiaaaahh_;hoje eu não sai de casa e não vejo nada;;Colombo, Brasil;2017-09-30 16:32:25
biiiaaaahh_;a porta estar fechada e eu só queria ver você voltar;;Colombo, Brasil;2017-09-30 16:32:39
biiiaaaahh_;pra ver se tenho um pouco de paixão;;Colombo, Brasil;2017-09-30 16:33:38
ta_tertuliano15;"Vi minha crush #1 com outra guria e fui lá toda afrontosa dar boa noite &lt;3 Desejei boa transa e tudo. 

Mas por den… https://t.co/ybhjRopYj1";;Colombo, Brasil;2017-09-30 16:34:27
ta_tertuliano15;@Greiiicy Ai amigueee que horrorrr.;;Colombo, Brasil;2017-09-30 16:36:41
olenic_;Meu cabelo parece estar tão curto dps q cortei ele, mas se Deus quiser até final do ano tá na bunda;;Colombo, Brasil;2017-09-30 16:38:04
heyHiatos;PSG tá no jogo treino hoje;;Colombo, Brasil;2017-09-30 16:38:32
larissa_lds;acordei animada para caralho hoje socorro;;Colombo, Brasil;2017-09-30 16:39:02
Jgscoimbra;trabalhando ganhando meu próprio dinheiro e gastando com o que eu quisesse sem depender de ninguém https://t.co/XHAdIZviT1;;Colombo, Brasil;2017-09-30 16:41:07
olenic_;Meu sonho essa mina me dar bola;;Colombo, Brasil;2017-09-30 16:43:02
heyHiatos;Só falta o Bordeaux perder o pênalti agora;;Colombo, Brasil;2017-09-30 16:46:44
heyHiatos;Finalmente tá passando Annabelle na HBO ❣;;Colombo, Brasil;2017-09-30 16:53:24
amandacarolinx;minha mae foi almoçar fora e eu só coloquei fogo na pani, rsrs;;Colombo, Brasil;2017-09-30 16:54:59
Malu_YK;QUE HOMEM https://t.co/8HD4lNJHq9;;Colombo, Brasil;2017-09-30 16:55:54
jujubaverde_;"Se tem uma coisa que eu amo dizer 

Essa coisa é

""a gente vai briga""";;Colombo, Brasil;2017-09-30 16:56:41
olenic_;Eu sou paciente mas tem coisa que eu não espero;;Colombo, Brasil;2017-09-30 17:03:31
danimotaatriz;Chegou 🙏🏻#AmorDaSuaCama1M parabéns meu amor @felipearaujo_fa ❤️❤️❤️ https://t.co/Gr5pKDmVQ6;;Colombo, Brasil;2017-09-30 17:19:49
viesque_;Boom dia bom dia;;Colombo, Brasil;2017-09-30 17:23:10
marcalflorestal;@maresolitude @mafiasummers @visaomacro @titifenycia E aqueles que ficam dizendo que não transam há tempos são os q… https://t.co/PoGV292kuQ;;Colombo, Brasil;2017-09-30 17:23:25
Jgscoimbra;vai se fuder snckpck é mxmtoon são muito meus nenê;;Colombo, Brasil;2017-09-30 17:36:02
pdc_brayan;meu avô tem whatsapp agora,kkkkkkkkkkkkkk;;Colombo, Brasil;2017-09-30 17:41:23
Jgscoimbra;aeeee porra https://t.co/CZWYxUtcLd;;Colombo, Brasil;2017-09-30 17:44:02
LuuRibas;I'm at Colombo in PR https://t.co/L5dDXvYpGG;{u'type': u'Point', u'coordinates': [-49.22510147, -25.29165508]};Colombo, Brasil;2017-09-30 17:44:20
LuuRibas;I'm at Vila Nova https://t.co/6ZopEIso49;{u'type': u'Point', u'coordinates': [-49.20988089, -25.34669239]};Colombo, Brasil;2017-09-30 17:44:33
larissa_lds;vida universitária é uma eterna relação de amor e ódio né como que pode;;Colombo, Brasil;2017-09-30 17:56:45
danpiccolo;Hoje tem festa em homenagem aos Erês! ♥♥♥ https://t.co/sjiTX8ou57;;Colombo, Brasil;2017-09-30 18:03:05
AdemirPereira93;Assistindo #OEloPerdido no #CineAventura #Record;;Colombo, Brasil;2017-09-30 18:06:28
jujubaverde_;eu tinha role hj mas nem vou nossa preguiça total;;Colombo, Brasil;2017-09-30 18:08:32
olenic_;Vou jogar um left 4 dead;;Colombo, Brasil;2017-09-30 18:26:18
ghost_tosin;Esperando o Matheus chegar com meu chocolatinho;;Colombo, Brasil;2017-09-30 18:27:41
jujubaverde_;venho p minha mãe e tenho que ficar lembrando quais são as músicas crentes boas pra monopolizar o som;;Colombo, Brasil;2017-09-30 18:34:29
olenic_;@_Abnernds Chegue;;Colombo, Brasil;2017-09-30 18:34:40
nicolaseckitor;minha irmã acabou de vir aqui;;Colombo, Brasil;2017-09-30 18:48:51
nicolaseckitor;ta de carro novo 😍;;Colombo, Brasil;2017-09-30 18:49:09
nicolaseckitor;@gabizinnnp pra dormir,pra sentir cheiro de terra molhada,p escutar o barulho e rlx 😍;;Colombo, Brasil;2017-09-30 18:50:34
isaah_nasci;@ fica assistindo filme e não me nota;;Colombo, Brasil;2017-09-30 18:52:06
nicolaseckitor;ela ta bem feliz pelo jeito;;Colombo, Brasil;2017-09-30 18:52:46
nicolaseckitor;começo do ano vou dar entrada no meu 🚗;;Colombo, Brasil;2017-09-30 18:53:12
nicolaseckitor;só de rolezin dai;;Colombo, Brasil;2017-09-30 18:54:15
nicolaseckitor;ninguém seguuura nois haha;;Colombo, Brasil;2017-09-30 18:54:30
nicolaseckitor;eu só queria uma carne p almoçar;;Colombo, Brasil;2017-09-30 19:00:13
nicolaseckitor;essa chuva 😍😍😍;;Colombo, Brasil;2017-09-30 19:05:22
nicolaseckitor;eu tenho que fazer um binder;;Colombo, Brasil;2017-09-30 19:05:40
nicolaseckitor;mas a pri não deixa 😴;;Colombo, Brasil;2017-09-30 19:06:07
viesque_;@Thaiinnnaa Eu posso né 🤤💤;;Colombo, Brasil;2017-09-30 19:07:23
nicolaseckitor;to sarrando em vc lentamente 🎶😏;;Colombo, Brasil;2017-09-30 19:09:52
nicolaseckitor;só queria ver ela e dizer VC FAZ FALTA FALTA FALTA AQUI AQUI AQUI 🎶;;Colombo, Brasil;2017-09-30 19:10:36
_eduardabp;Tenho medo de chuva alguém vem me salvar;;Colombo, Brasil;2017-09-30 19:10:42
_eduardabp;A Thaís Fede;;Colombo, Brasil;2017-09-30 19:10:48
nicolaseckitor;miley ta tão maravilhosa que eu não to sabendo lidar 😍👑💕;;Colombo, Brasil;2017-09-30 19:11:50
nicolaseckitor;fada do country @MileyCyrus eu te venerooooo 😍👑;;Colombo, Brasil;2017-09-30 19:12:24
nicolaseckitor;NEEEEXT YOU IN MALIBU 🎶;;Colombo, Brasil;2017-09-30 19:14:12
Faabi_Konopka;To com mt dor de cabeça;;Colombo, Brasil;2017-09-30 19:37:04
Faabi_Konopka;Cheguei agr do centro;;Colombo, Brasil;2017-09-30 19:37:17
biiiaaaahh_;novembro p mim tá sendo um mês tão esperado;;Colombo, Brasil;2017-09-30 19:41:06
viniciusloch;O que foi isso ein werley kkkkkk;;Colombo, Brasil;2017-09-30 19:46:40
_eduardabp;Jogo do coxa e eu só passo longe da tv p n ver a vergonha;;Colombo, Brasil;2017-09-30 19:46:45
is_paider;Oi;;Colombo, Brasil;2017-09-30 19:48:13
viniciusloch;Ae seus cartolero curtiram a assistência do werley?;;Colombo, Brasil;2017-09-30 20:03:42
viniciusloch;Agora vai https://t.co/kN5tBl3MoC;;Colombo, Brasil;2017-09-30 20:04:09
Faabi_Konopka;@Rafitcha_Ss Pipoca ou pipoca, vdd;;Colombo, Brasil;2017-09-30 20:10:54
Jgscoimbra;abençoado seja cat stevens;;Colombo, Brasil;2017-09-30 20:26:27
Luaaneexx;Que preguiça;;Colombo, Brasil;2017-09-30 20:28:27
Luaaneexx;Preciso secar meu cabelo 🙄;;Colombo, Brasil;2017-09-30 20:28:39
viniciusloch;A famosa pintura https://t.co/2xbOjZnAJx;;Colombo, Brasil;2017-09-30 20:30:40
AnaFerreira83;"Me apaixonei por #ShawnMendes ❤
#ShawnMendesNoCaldeirao https://t.co/grWK4CNKwK";;Colombo, Brasil;2017-09-30 20:47:02
AnaFerreira83;"Me apaixonei por #ShawnMendes ❤
#ShawnMendesNoCaldeirao https://t.co/wZrLj1Yuhe";;Colombo, Brasil;2017-09-30 20:48:20
AnaFerreira83;"Olha o talento desse menino 😍😍
#ShawnMendesNoCaldeirao";;Colombo, Brasil;2017-09-30 20:49:19
AnaFerreira83;"Ahhh esse sorriso 😍😍
#ShawnMendesNoCaldeirao";;Colombo, Brasil;2017-09-30 20:50:45
Tahta_;Fui lá em cima levar a blusa do Fabiano;;Colombo, Brasil;2017-09-30 21:00:14
Jgscoimbra;o bolo que eu queria https://t.co/bnOje02cwk;;Colombo, Brasil;2017-09-30 21:00:46
viesque_;Que dor de cabeça do cão 😓;;Colombo, Brasil;2017-09-30 21:02:34
Malu_YK;@JizocaWTF terminou de uma vez?? https://t.co/kMvugYbB3F;;Colombo, Brasil;2017-09-30 21:51:54
_DavidMatheusz;@Raafann normal né;;Colombo, Brasil;2017-09-30 21:52:02
Faabi_Konopka;Os pia me chamaram p ir no cine;;Colombo, Brasil;2017-09-30 21:57:30
Jgscoimbra;alguém faz uma versão funk do hino de Bandeirantes pra eu por nos rolê aqui em Curitiba por favorre;;Colombo, Brasil;2017-09-30 22:02:19
Jgscoimbra;procura-se pessoas top pra dar rolê em cwb;;Colombo, Brasil;2017-09-30 22:38:22
nickiirosa;Quando seu namorado e um otário https://t.co/yIOT6jZV8f;;Colombo, Brasil;2017-09-30 22:44:03
Tahta_;Dei o cone pro maninho e acredita que ele derrubou? Tava dentro da blusa e o estabanado deixou cair;;Colombo, Brasil;2017-09-30 22:52:16
Tahta_;Nós somos um casal perfeito mesmo... Dois abobados;;Colombo, Brasil;2017-09-30 22:52:30
pdc_brayan;eu sou o cara do time que mais apanhar;;Colombo, Brasil;2017-09-30 22:58:24
R_Dmalz;Vou lá na tabacaria com os piá;;Colombo, Brasil;2017-09-30 23:00:54
R_Dmalz;É o que tá teno p hoje;;Colombo, Brasil;2017-09-30 23:01:02
biiiaaaahh_;é tão bom quando se tem um melhor amigo que te conta tudo ❤;;Colombo, Brasil;2017-09-30 23:02:55
natysx;sabadou chorando;;Colombo, Brasil;2017-09-30 23:07:31
natysx;Feliz um mêszinho de vida, tesouro da mami!! 💟💖 https://t.co/GlVz6OeQzR;;Colombo, Brasil;2017-09-30 23:09:32
action_kau;Melhor personagem da 1ªtmp de AHS é o Tate Langdon ❤️;;Colombo, Brasil;2017-09-30 23:18:42
action_kau;"Tate &amp; Violet 
Que casal ❤️";;Colombo, Brasil;2017-09-30 23:19:09
action_kau;Mesmo ele sendo um capiroto kkk e os dois não ficando juntos no final eles são os melhores;;Colombo, Brasil;2017-09-30 23:19:57
action_kau;"&lt;3 https://t.co/Ig9gNJKFST";;Colombo, Brasil;2017-09-30 23:29:54
pqka_;I'm at Burger King in Colombo, Paraná https://t.co/1eChR2MYuf;{u'type': u'Point', u'coordinates': [-49.18402, -25.361082]};Colombo, Brasil;2017-09-30 23:30:27
_eduardabp;Salvei esse vídeo ou esse vídeo me salvou??¿¿ https://t.co/mSC3if1MdG;;Colombo, Brasil;2017-09-30 23:34:16
ThiagoMiragem;Sou mt tapado;;Colombo, Brasil;2017-09-30 23:41:52
ThiagoMiragem;Esqueci o cel no 99pop, mas sorte que o motorista é gente finissima e vai me trazer aqui em casa;;Colombo, Brasil;2017-09-30 23:42:27
ThiagoMiragem;Cheguei em casa fedendo a ceva huauhhahuuah;;Colombo, Brasil;2017-09-30 23:45:52
Hbriiele;tempo de chuva 💙;{u'type': u'Point', u'coordinates': [-49.1831999, -25.35759841]};Colombo, Brasil;2017-09-30 23:51:24
is_paider;@prmsx nossa vc nao era assim natalia;;Colombo, Brasil;2017-09-30 23:59:56
is_paider;@prmsx mas ainda te amo muito;;Colombo, Brasil;2017-10-01 00:00:41
Hbriiele;que paz ta essa casa, por enquanto;{u'type': u'Point', u'coordinates': [-49.18321806, -25.35770276]};Colombo, Brasil;2017-10-01 00:05:58
action_kau;Normal people scare me;;Colombo, Brasil;2017-10-01 00:06:42
