opiniao;tweet
Positive;RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Positive;Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Positive;Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
Positive;Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone
Positive;@apple your simply the best.
Positive;I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
Positive;Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness
Positive;Loving the new iPod update @apple
Positive;@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
Positive;@SteveJobs being honored Positive @Apple...A truly great loss to the world.He will so be missed
Positive;Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
Positive;Loving my new #iPhone4S thanks @apple for #ios5
Positive;@apple the iPhone 4s is great #genius
Positive;@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.
Positive;@apple Siri is amazing
Positive;@rygurl you need an @apple iphone4S with Siri!
Positive;Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple
Positive;"So, I am using my work PC (Neutral EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
Positive;I ♥ @Apple http://t.co/a8on3IAa
Positive;@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
Positive;Loving #iOS5 !! #awesome @Apple
Positive;RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}
Positive;@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
Positive;@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.
Positive;RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple Neutral success http://t. ...
Positive;Another great James Stewart story in today's NY Times about importance of architecture in @apple Neutral success http://t.co/Kniz452s
Positive;Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
Positive;Impressive service @apple genius bar Neutral Neutral. Power cable replaced free n booked in for screen replacement for free :- D
Positive;RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Positive;the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Positive;My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.
Positive;It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
Positive;RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
Positive;@RickySinghPT got a new backside for my eye phone! V impressed with @apple
Positive;#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #Negative @apple your products inspire people to do unbelievable things
Positive;Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
Positive;Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
Positive;@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
Positive;New iOS 5 update is THE BEST. iloveyou @apple
Positive;Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.
Positive;I absolutely love my iPhone 4S. Thank you, Steve and @apple.
Positive;@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
Positive;dammit, listening to siri is making me want to upgrade. well played @apple.
Positive;Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature
Positive;#iOS5 update submitted to @apple! Thanks for all the support!
Positive;Awesome service from the @apple store in pc. Thanks chris!
Positive;RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO
Positive;I am crazy about #iOS5 . The photo cropping is the best! @apple
Positive;.@apple thanks for fixing this... http://t.co/wTj1ogDO
Positive;@apple has changed life.
Positive;Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
Positive;The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
Positive;Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
Positive;Wow I am loving this new @apple update for my touch. #coolness Well done
Positive;@Apple: Siri is amazing!!! I'm in love!
Positive;Love love love iOS 5!! @apple
Negative;RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
Negative;RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Negative;@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Negative;@apple needs to hurry up and release #iTunesMatch
Negative;Why is  #Siri always down @apple
Negative;I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
Negative;"@apple AirDrop #fail - Immediate ""declined your request."" every time"
Negative;good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
Negative;Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
Negative;The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
Negative;Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple
Negative;"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"" button."
Negative;FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
Negative;Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.
Negative;"@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr..."
Negative;"Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it."
Negative;"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer…"""
Negative;shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.
Negative;. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
Negative;Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
Negative;I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!
Negative;"@rogerweir no but I have the option of a  replacement iPhone 4s ?
Not sure if I want one after having 2 duff iPhones.
@O2 @iphone4s @apple"
Negative;So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
Negative;You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?
Negative;So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
Negative;@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
Negative;Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
Negative;@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(
Negative;@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
Negative;Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
Negative;@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
Negative;Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
Negative;@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv
Negative;Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
Negative;"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers..."
Negative;Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
Negative;@APPLE Wow @MOTOROLA Just crushed your dreams....
Negative;Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.
Negative;"Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
Negative;"@apple, 
No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now"
Negative;@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?
Negative;@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T
Negative;Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii
Negative;@apple why is my iPhone battery so crappy #fail
Negative;My @Apple @macbook keyboard will not type :(
Negative;"@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world"
Negative;@Apple #iOS5 gm on ipad1 is very slow wash better on Neutral/8 solve this problem, or give me the ipad2
Negative;@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!
Negative;@Apple iTunes is the worst program ever. For such a great phone, you make some awful software.
Negative;One would think the voice recognition on the @apple tech support line would work a little better.
Negative;@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!
Negative;@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.
Negative;@AsimRang @apple @umber the desktop app is wack though
Negative;I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm
Negative;Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight
Negative;Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #
Negative;#DontBeMadAtMeBecause #Android is by far better than @Apple
Negative;@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.
Negative;@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt
Negative;Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
Negative;Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!
Negative;Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
Negative;fuck u @apple
Negative;why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
Negative;. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed
Negative;Like @apple da fuck is this shit?  http://t.co/nb4DHlSg
Negative;RT @CircusTK: I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...
Negative;Damn it @Apple!! Whatchu done to my phone??
Negative;"Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk"
Negative;@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail
Negative;@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??
Negative;@apple the reservation system not working, shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing
Negative;@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
Negative;I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple
Negative;9% now on my second full charge of the day. Pissed @Apple
Negative;RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!
Negative;I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!”
Negative;iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.
Negative;Deár iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs
Negative;i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple
Negative;Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!
Negative;@apple u guys are gay
Negative;Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo
Negative;none of my apps work after the new ios from @apple. what do i do?!?
Negative;Seemingly endless loop of calls to @apple, @ups, @verizonwireless to investigate my missing #iphone4s. #crankywithnophone
Negative;@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
Negative;@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.
Negative;@chascouponmom @apple I get they are busy w/ the new phone, but I just wanted to buy a stylus. they made me wait forever outside & Neutral
Negative;@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone
Negative;@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help
Negative;Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.
Negative;Have Neutral had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6
Negative;@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg
Negative;Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!
Negative;What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.
Negative;Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh
Negative;"Where is my iPhone!?!?!?!
@apple"
Negative;@apple battery life suck on iOS 5
Negative;An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.
Negative;@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?
Negative;"Hey @apple why can't I share a reminder list from my iPhone?
Also why can't I login to the iCloud webpage to modify sharing from my phone?"
Negative;Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade
Negative;could @apple lion please integrate Neutral spaces in mission control. this horizontal business is making me nauseous
Negative;Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f
Negative;GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.
Negative;Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread
Negative;"“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5"
Negative;As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad
Negative;I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN
Negative;“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?
Negative;I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.
Negative;Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall
Negative;RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.
Negative;Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even, thanks
Negative;"@apple If you want to know what customers think dont send updates with the ""noreply"" return address. Who invented that anyway. #useless"
Negative;"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing ""Who Knew"" by Pink.  Still not Flawless @Apple"
Negative;should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
Negative;Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
Negative;RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...
Negative;@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx
Negative;"""Waiting for items to copy"" in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?"
Negative;@Apple unhappy again with service/product quality. Won't buy @Apple again.
Negative;Lies @apple. the battery on this new iPhone4S is definitely not any better.
Negative;"“@philipgrey: dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?”"
Negative;Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable.
Negative;anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment
Negative;@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain, genius bar wants to replace the battery. Really?
Negative;1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail
Negative;@PrJusto Don't question the @Apple they will remember your dissent!
Negative;"@apple: Multiple times siri is ""having trouble connecting to the network.""  Siri needs servers (and some exercise!)"
Negative;RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...
Negative;"dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?"
Negative;Ugh. WTF is up with all the bottlenecks @paypal @apple?
Negative;+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
Negative;@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
Negative;if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?
Negative;any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious
Negative;"@Apple - #Siri is not working due to ""network problem""? Seriously? Can you fix this? #iPhone4s #Fail"
Negative;@trisha_ps @iCloud is Cloudy. @apple tech, not very techy.
Negative;@electricsoup It has to connect to @Apple to process commands, which it is failing to do right now
Negative;See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!
Negative;This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
Negative;Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
Negative;"Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said, ""I can't actually help u, just direct u back to the web"""
Negative;What's wrong with Siri today @apple
Negative;@Apple Siri is down!
Negative;I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.
Negative;on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.
Negative;"Ok this @Apple software update for the #iphone is taking waaaaay too long!
#annoyed"
Negative;"@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( 
#itjustworks"
Negative;@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty.
Negative;@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.
Negative;@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL
Negative;@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.
Negative;I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple
Negative;Is it me or does my #iPhone run slower since the #iOS 5 update? @apple @Verizon
Negative;Just searching with my voice on my 2 year old nexus one @apple.
Negative;@apple, your update server has been timing out for a week. i had to force a restore w/the new #iOS5 software. lost all my stuff. thanks!
Negative;Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone
Negative;I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple
Negative;but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz
Negative;My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!
Negative;Pondering the iOS update... From the sounds of @MikeFerri's difficulties, I may just hold off :/ @Apple, FIX IT!
Negative;@twalve @apple you know the issues they have with DST and alarms :p
Negative;Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing
Negative;Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
Negative;Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs.
Negative;@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks.
Negative;what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles
Negative;"#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(
@apple sux without steve"
Negative;2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
Negative;It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5
Negative;@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing.
Negative;Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?
Negative;@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made
Negative;Having major battery drain issue since updating iPhone 4 to iOS 5.  Anyone else? @AppStore @iPhone @apple
Negative;Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!
