opiniao;tweet
Positive;Ich Liebe Dich einfach hart!!
Neutral;Ich habe ein neues Foto auf Facebook gepostet http://t.co/u3ao8stbEP
Negative;Ich seh schon, die coolen Kids nehmen alle Schlaftabletten.
Negative;Außerdem bemängele ich, dass Jonas und ich IMMER zu verschiedenen Wochenenden in Berlin sind!
Positive;"@Naturalismus keine Sorge Carlos, ich arbeite gleich wieder, dann kann ich nicht lesen ;)"
Neutral;"(Er favte sicher nur das „Carlos“)
#vielzufrühnonmention"
Neutral;Ich habe ein neues Foto auf Facebook gepostet http://t.co/J31O5Emv0J
Positive;"Wir zieh’n durch die Straßen und die Clubs dieser Stadt,
Das ist unsre‘ Nacht, wie für uns gemacht, oho oho
Ich... http://t.co/5GQLWnBiHo"
Positive;"Wir zieh’n durch die Straßen und die Clubs dieser Stadt,
Das ist unsre‘ Nacht, wie für uns gemacht, oho oho
Ich... http://t.co/5GQLWnBiHo"
Neutral;Ich habe ein neues Foto auf Facebook gepostet http://t.co/hXXhE2HNFI
Neutral;"Vorhersage (So.) Vormittag: bewölkt; T°C +7; mäßige Brise SW 7-9m/s  http://t.co/OgA2wl8egZ"
Neutral;"Vorhersage (So.) Nachmittag: zeitweise sonnig; T°C +7 +9; mäßige Brise W 7-8m/s  http://t.co/OgA2wl8egZ"
Neutral;"Vorhersage (So.) Abend: bewölkt; T°C +6 +7; mäßige Brise W 5-7m/s  http://t.co/OgA2wl8egZ"
Positive;ich finde blogger haben da genauso eine berechtigung wie alle anderen journalisten... http://t.co/2NoHuyg9j8
Neutral;ich finde blogger haben da genauso eine berechtigung wie alle anderen journalisten... http://t.co/2NoHuyg9j8
Positive;cool. Julis Frühjahr- und Sommertrends 2014: http://t.co/B1lR2GStnV
Positive;Check diesen Link auf joiz . Heisser Scheiss - unbedingt anschauen! - Kaffee trinken mit Melissa und Julia: http://t.co/SlX1D1DP0G
Positive;Check diesen Link auf joiz . Heisser Scheiss - unbedingt anschauen! - joiz in Concert: http://t.co/oXPPZy9SH0
Neutral;RT @cebit: Prämiere auf der #CeBIT 2014: Fraunhofer IOSB stellt einen Ausschnitt des MicroLab erstmalig der Öffentlichkeit vor http://t.co/…
Neutral;RT @cebit: Prämiere auf der #CeBIT 2014: Fraunhofer IOSB stellt einen Ausschnitt des MicroLab erstmalig der Öffentlichkeit vor http://t.co/…
Neutral;Uaine agus Gorm published SMPK für Matreus (Unknown Cache) at 2/16/2014 (2.3km) http://t.co/NjD1MpiquA
Positive;"""Rekord eingestellt - „Jetzt ist Jürgen Klopp endgültig eine Legende!“"" good read http://t.co/eFqqqxwesC"
Neutral;Die TS Großburgwedel hat das Spiel in der 3. Liga Nord gegen den Oranienburger HC nach 45 sehr starken Minuten sicher mit 29:25 gewonnen.
Positive;Die TS Großburgwedel hat das Spiel in der 3. Liga Nord gegen den Oranienburger HC nach 45 sehr starken Minuten sicher mit 29:25 gewonnen.
Positive;Was für ein großartiger Abend! :) Danke herzlichst für die Einladung @svennov
Neutral;@WWATGerSeats was ist das für ein Buch :o
Positive;Ich habe ein @YouTube-Video von @levelcapgaming positiv bewertet: http://t.co/9w3b22PQ6B Titanfall - Smart Pistol Double Pilot Kill:
Positive;"Guten Morgen 
Ich wuensche Euch einen schoenen Sonntag :-)♡ http://t.co/JNbcMPeCYN"
Positive;"Guten Morgen 
Ich wuensche Euch einen schoenen Sonntag :-)♡ http://t.co/JNbcMPeCYN"
Positive;"@Bushido78 @YouTube seit 2001 verfolg ich immer wieder was du anstellst ! SonnyBlack
Ein muss in jeder Sammlung !
#zersägt"
Positive;@WWATGerSeats hii kannst du mich aus dem sitzplan löschen? (@maritomlinson94) ich hatte ein Ticket für oberrang 136.. jetzt grüne Zone :D x
Negative;RT @heisec: Crowdfunding-Plattform Kickstarter gehackt http://t.co/MFRMVosaMx #Crowdfunding
Positive;Grillenchor zum Sonntag http://t.co/SvoXf6A76Y
Positive;Ich habe ein @YouTube-Video von @darussianbadger positiv bewertet: http://t.co/qBNLR1oWOo BADGERFIELD 4: The Cookie Crumbles
Neutral;Lohnt sich das Bloggen zur Kundenakquise? Das verrät uns die Social Media Marketing Expertin und Inhaberin von... http://t.co/V4yaz2q7Ly
Positive;@DLR_next Das Genie beherrscht eben das Chaos 😜
Positive;Problem #Fachkräftemangel? eine Lösung: #Jugendberufsagenturen. Soll flächendeckend umgesetzt werden. #guteIdee http://t.co/dvH2hTif5x
Positive;Guten Morgen! http://t.co/I46RiOyz9F
Neutral;Gismo7777 attended Weltkulturerbe Michaeliskirche - mit 2? Wert (Event Cache) at 2/15/2014 (28.2km) http://t.co/TQvucErWuE
Negative;Wer zur Hölle klingelt bei mir am Sonntagmorgen um halb acht??? Ich musste erstmal die Bohrmaschine ausmachen und nachsehen.
Positive;Wow Jansrud.
Positive;Wow Jansrud.
Negative;Och toll. Ich hatte was anderes erwartet, wie Danica Patrick ihren Hasen Ricky Stenhouse wrecked. #NASCAR
Negative;#wach
Neutral;HSV ohne Trainer mal schauen wie lange. Wäre mit Slomka alles klar gebe es heute Training und nicht frei.
Neutral;RT @t3n: Facebook, Twitter, Xing und Co.: Die besten #Crossposting-Tools für Social-Media-Manager #socialmedia http://t.co/q0rn3droKK
Negative;Outsch. #boardercross
Neutral;So wie die vor schmerzen schreit könnte das nahe am Beinbruch sein. #Olafsen #boardercross
Negative;So wie die vor schmerzen schreit könnte das nahe am Beinbruch sein. #Olafsen #boardercross
Positive;"Ah wohl doch ""nur"" was am Knie. #olafsen #boardercross"
Neutral;RT @heisenetze: Telekom will mehr Tempo auf Kupferleitungen http://t.co/HaoAOT8LPY #ITU #VDSL
Neutral;Kostenlos werben im Internet  = mehr Besucher = mehr Geld verdienen http://t.co/5Xvl5PvIPp, see more http://t.co/48A0ldU9l5
Neutral;Mienchen83 found Kletterpark Eilenriede - langer Lulatsch (Traditional Cache) at 2/14/2014 (4.1km) http://t.co/gUk1ywVrEJ
Negative;Wer klaut mir immer meine Tee-Wasser vor der Nase weg? :o
Negative;Das ist jetzt das dritte Mal dass ich aufsetze.
Negative;Ganz böse. #boardercross
Neutral;Wahlen in #Burgwedel, Max und Moritz im Museum und Stille auf dem Schnellweg: Das ist heute in #Hannover wichtig: http://t.co/W7mHSnjmcB
Negative;Bekomme nur ich gefühlte 10 Mails am Tag von #Weltbild?
Neutral;Vater und Mutter des Kosmos http://t.co/qcOIxslkoS
Neutral;Vater und Mutter des Kosmos http://t.co/qcOIxslkoS
Neutral;#Polnische #Baugesellschaft / #Baustoffhandel mit #Steuernummern #schuldenfrei zu verkaufen http://t.co/GarWkAJiaz
Neutral;RT @Foehr_Wissen: Finanzdienst_behörde hat das Wertpapierprospekt der Bürger AG bewilligt. Aktien=Kapital #nachhaltige  Beteiligung http://…
Positive;"@gerkeno @kayssun ""Morgens Elmex, abends Aronal"". Das hat sich seit Kindertagen in mein Hirn gebrannt. Keine Gefahr!"
Neutral;RT @protamino: #Nahrungsergänzung ist Teil der #Evolution .. http://t.co/HH9TTMXXEG 16.02 03:00
Neutral;RT @protamino: Veganes Protein aus Erbsen, Artischocken und braunem Reis http://t.co/HH9TTMXXEG 16.02 01:00
Negative;Aufregung um Friedrich. Die sollen alle froh sein, dass er jetzt weg ist. Wir auch.
Negative;RT @onlinevitalshop: Jüngste Kritiken an #Vitaminen sind manipulierte Angstmache http://t.co/BEY1uzeyqi
Neutral;...auf fb name gesucht, treffer. profilbild entspricht einem instrgam-bild auf sd. nachricht geschrieben, hoffentlich kommt bald ne antwort.
Neutral;RT @onlinevitalshop: Salz ist nicht gleich #Salz - zumindest nicht ganz http://t.co/5FsVefgwoC
Neutral;"3.Liga Nord :: Frösche fressen kleine Zebras : &amp;bdquo;Wir k�nnen auch Zebras&amp;ldquo; titelten die FRO...  #handball » http://t.co/I3LSfv8x0i"
Neutral;RT @onlinevitalshop: #Protein Plus mit lebensnotwendigen Nährstoffen für den aktiven Menschen http://t.co/myZ2L9BMvO
Neutral;Fall Edathy: Battis wirft Friedrich Verletzung von Amtsgeheimnis vor - SPIEGEL … http://t.co/uazEhGqhes, see more http://t.co/aJla77K5Iz
Positive;Montagsmotivation² – Mal verrückt und außergewöhnlich sein! - Alte Muster aufbrechen und neue Wege gehen... http://t.co/AjtWP1XWX0
Neutral;RT @heise_de: Spanien: Google soll Verlage für Textausschnitte bezahlen http://t.co/3cXAi32lKo
Neutral;2.Bundesliga :: Erster Sieg für Stevic in Neuhausen : Zu Beginn verlief die Partie hin und her, a...  #handball » http://t.co/KhLBuoYoUz
Neutral;Ein Schild sagt mehr als 1000 Worte...  via @spiegelonline http://t.co/xi7ZYenT9G
Positive;Hört sich vom Sound her zwar scheisse an, aber über das Video muss ich immer lachen :D http://t.co/EH6BNEhZRr
Positive;Hört sich vom Sound her zwar scheisse an, aber über das Video muss ich immer lachen :D http://t.co/EH6BNEhZRr
Positive;@TDutschi geiler schwanz. Würde ihn gern mal spühren
Neutral;#Zypern #Ltd #Limited zu verkaufen http://t.co/GarWkAJiaz
Positive;Guten Morgen, Good Morning, Bonjour, Gunaydin, Buongiorno, Buenos días, ohayoo gozaimasu, Namastē Доброе Утро! ~... http://t.co/fxonDIiJi3
Positive;Guten Morgen, Good Morning, Bonjour, Gunaydin, Buongiorno, Buenos días, ohayoo gozaimasu, Namastē Доброе Утро! ~... http://t.co/fxonDIiJi3
Negative;@morgenpost klar, und Mappus ist der letzte Wixxer auf Erden. Todesstrafe für diese dumme Sau!
Negative;@morgenpost klar, und Mappus ist der letzte Wixxer auf Erden. Todesstrafe für diese dumme Sau!
Neutral;Fußball: U17 und U13 auf Erfolgskurs http://t.co/SdIPxbOGE4
Neutral;Fußball: U17 und U13 auf Erfolgskurs http://t.co/SdIPxbOGE4
Neutral;"Sei der Erste und gewinne 500 €. 

http://t.co/d32sIkeGCn http://t.co/7stnTJ8bFY"
Neutral;"Sei der Erste und gewinne 500 €. 

http://t.co/d32sIkeGCn http://t.co/7stnTJ8bFY"
Neutral;Bandit mit Colt found Flugsaurierpiloten-Fifth Tree Birth Final (Unknown Cache) at 2/15/2014 (12km) http://t.co/Kvgh45qQQx
Neutral;"HRC #Foto: Aus der Reihe ""Verlorengegangene Anblicke"" zeigen wir Euch heute aus dem Nachlass Wilhelm Grimm eine... http://t.co/soS2Oac954"
Negative;RT @KassenMeyer: Vor der rückrunde wäre jeder mit 6 punkten aus 4 spielen mehr als zufrieden gewesen, jetzt meckern trotzdem alle... #h96 #…
Negative;RT @KassenMeyer: Vor der rückrunde wäre jeder mit 6 punkten aus 4 spielen mehr als zufrieden gewesen, jetzt meckern trotzdem alle... #h96 #…
Positive;Twitter / WWF_Deutschland: Heute ist Welt Schuppentier-Tag! ... https://t.co/rpeVrpatT6, see more http://t.co/C59wOA9cLt
Positive;guten morgen, nach 6km laufen habe ich mir nen Capu verdient 🔥#maschsee #hannover
Neutral;Internetagentur - Web-Design - IT-Beratung aus Würzburg http://t.co/BnAGvJAFB6
Positive;"Omega-3 Fettsäuren verbessern die kognitiven Fähigkeiten bei Erwachsenen
 http://t.co/EIe2N5ezCA"
Positive;@Jackie2506 @Mithelye @pitti0205 hab das Bild vergessen, ♥♥♥ http://t.co/WAHyJY7DAL
Negative;"""Der #HSV wird sich die 1:0-Führung nicht mehr aus der Hand nehmen lassen, da bin ich sicher."" #Sky-""Experte"" #JensLehmann in der Halbzeit"
Negative;"""Der #HSV wird sich die 1:0-Führung nicht mehr aus der Hand nehmen lassen, da bin ich sicher."" #Sky-""Experte"" #JensLehmann in der Halbzeit"
Negative;"Reaktion: ""Omg. Er hat ne Freundin"" ""was"" ""was"" ""was"" ""whhaaaat"" ""nein"" ""doch"" ""ohhhh"" ""nein kann nicht sein"""
Positive;3. Neuanfang beim #HSV diese Saison. Vll. kann #Slomka die richtigen Impulse setzen. Wir hoffen das Beste! #nurderHSV
Neutral;RT @96U23: 96 U23: Heute gastiert der Tabellenzweite im Beekestadion, ohne Valmir Sulejmani. Der Goslarer SC gehört diese... http://t.co/8C…
Negative;Wenn der Kater sein Antibiotika fressen würde -.-' Wir haben es jetzt in Wasser aufgelöst und ihm gegeben...hoffentlich ist das ok :(
Positive;@fussballzimmer in #H96 hat er auch viele gute Dinge bewirkt. Hoffnung ist da. Vll. hungrige Spieler einsetzen...?
Positive;zweitewelle.de - HVB überrascht im Eichsfeld http://t.co/RPmidZQsJf via @zweitewelle
Neutral;FG Münster: FA muss Gründe für Versagung des Vorsteuerabzuges wegen betrügerischen Handelns darlegen http://t.co/HG7e81dZZ2
Positive;Veganes Protein aus Erbsen, Artischocken und braunem Reis http://t.co/myZ2L9BMvO
Neutral;"#Gesundheits-#Bakterien"" erfüllen in unserem #Magen- und #Darmbereich wichtige Aufgaben http://t.co/aIX8PW3LRc"
Positive;"""@Favstar250_de: @MichaelJur Glückwunsch zu deinem 250★-Tweet! http://t.co/8saqDYiZIf"" oh, ihr wart heut Nacht fleißig!"
Positive;"Das erste ""Guten Morgen"" aus der neuen Wohnung :) http://t.co/YPixDrKo74"
Positive;3.Liga Ost ::  Punktgewinn für die MSG    : Nach den zuletzt �u�erst schwachen Leistungen stand die...  #handball » http://t.co/yNJOhzvD5c
Neutral;"• Firmengründung im Ausland
• Eröffnung von Bankkonten
• Domizilserivice
• Treuhandservice
http://t.co/5cGZavyRrA"
Positive;@kiza72 War definitiv ein glückliches Tier!
Neutral;Wie fundierte Recherche funktioniert: Der #derStandardat über den Faktencheck beim #Spiegel. http://t.co/VLow4mVITf
Positive;Ich habe ein @YouTube-Video positiv bewertet: http://t.co/wrToPSbudI Portal: A Day in the Life of a Turret (Machinima)
Positive;@gc_6foot3 haha. nein, da gabs zwei szenen, die mir völlig neu waren. einmal mit dem lächeln und dann wo sarah ihm die cpu entfernt.
Positive;@DasATeamGeo aso. ein messenger. ok. war mal wieder zu faul für google =)
Positive;@DasATeamGeo aso. ein messenger. ok. war mal wieder zu faul für google =)
Positive;"Aufstehen wie die Profis. WakeUp, dein Wecker der dich ganz entspannt durch den Sonntag bringt. &lt;3

10:00 Uhr -... http://t.co/Xwh3KoMOwP"
Positive;"Aufstehen wie die Profis. WakeUp, dein Wecker der dich ganz entspannt durch den Sonntag bringt. &lt;3

10:00 Uhr -... http://t.co/Xwh3KoMOwP"
Neutral;New Edition - Tattoos von TapeRay - Mein MacBook Pro hat es schon - Wandtattoos, Sticker, MacBook - Styling mit... http://t.co/Hc3IYw1y7e
Neutral;New Edition - Tattoos von TapeRay - Mein MacBook Pro hat es schon - Wandtattoos, Sticker, MacBook - Styling mit... http://t.co/Hc3IYw1y7e
Positive;Ich glaube heute muß ich selber zu Kaffeemaschine robben. Bis später dann.
Positive;"Im Flugzeugmodus lädt sich der Akku in der Regel doppelt so schnell auf.
Für euch getestet."
Neutral;3.Liga Nord :: HSV Hannover unterliegt 26:31 in Springe : Das Drittligaderby des HSV Hannover bei den Handballfreunden Spri...  #handball »
Neutral;Opera: Schwarze Tage für Nutzer des Norwegen-Browsers - COMPUTER BILD: Opera: Schwarze Tage für Nutzer des Nor... http://t.co/MjvEeiC0kA
Positive;Sexy Blonde Red Lips Ein Duftkuss voller Lebendigkeit. http://t.co/9BpN9ZgVee
Neutral;Sexy Blonde Red Lips Ein Duftkuss voller Lebendigkeit. http://t.co/9BpN9ZgVee
Negative;@BILD_Politik @BILD kann man #seehofer noch ernst nehmen? ich sag nur #killerspiele.
Neutral;Tag 2 des #femsem14 beginnt mit nem Referat von @MarenZangerle zum Thema Frauen in der beruflichen Ausbildung #jusos http://t.co/iE3LEkc9sA
Neutral;"@britholen
Flügelschlag der Angst...Das Taschenbuch bei Amazon ...  http://t.co/UUallLO0ha  #debk #tholen #buchtipp"
Negative;@seelschen Hat er bisher auch immer bekommen, aber die neue Tierärztin hat uns Tabletten gegeben...:( ich ruf sie nachher mal an :/
Positive;"Guten Morgen, liebe fb-Freunde♥♥♥
Nach dem Sonntagsfrühstück geht's ins Funkhaus am Maschsee. Was steht bei euch... http://t.co/JKJzPFNFiU"
Positive;"Guten Morgen, liebe fb-Freunde♥♥♥
Nach dem Sonntagsfrühstück geht's ins Funkhaus am Maschsee. Was steht bei euch... http://t.co/JKJzPFNFiU"
Negative;Die Berichterstattung gegen #Firmenbestattung ist einseitig. Jede Insolvenz hat eine Geschichte http://t.co/FMb4WiKzMe
Positive;@BUDDY_ERL ich bleib lieber oldschool 2 Plattenspieler, 1 mic
Neutral;#Mantelgesellschaft bei Wikipedia http://t.co/GarWkAJiaz
Neutral;"Ein verschneiter #Lieblingsort in Limmer von Berberbeard:
http://t.co/ltAEf7nCBr
(http://t.co/88ysspeRbN) http://t.co/lHO5AJHOW5"
Positive;@asbeck_marvin dachte ich mir, als nichts zurück kam xD
Neutral;@asbeck_marvin dachte ich mir, als nichts zurück kam xD
Negative;Der gekündigte BA-Mitarbeiter Marcel Kalwass (... http://t.co/fokkry9091
Neutral;#Gemütlich und #gesund durch den #Winter http://t.co/7EMu5zPUVt
Neutral;Heute wird in der Region #Hannover gewählt: Bürgermeisterwahl in #Burgwedel. Geht zur #Wahl, wenn ihr dort lebt! http://t.co/5ckLIR6jg5
Neutral;Die Bilder der Woche (KW 7) http://t.co/WVIT1gURBn #heiseFotoGalerie #BilderderWoche
Neutral;anke.rainer found Kletterpark Eilenriede-Einwerfen üben (Traditional Cache) at 2/14/2014 (3.8km) http://t.co/TkpRoylKUO
Neutral;Die Zukunft im Blick, das Tagesgeschäft in der Hand. http://t.co/eyHIwBpJdY
Neutral;Wegwerfgesellschaft – Grillratte http://t.co/a9jQgwBUqh
Positive;Er lag auf mir und schaute mich leidenschaftlich an. Ich dachte, er würde jetzt sagen, dass er mich liebt, aber: Du hast n Popel in der Nase
Positive;Geade aufgestand und worauf hab ich hunger? Pizza und Smoothie... Normal :D
Negative;Manchmal bist du genau wie so ein zickiges eingebildetes Mädchen.
Positive;RT @onlinevitalshop: #Protein Plus mit lebensnotwendigen Nährstoffen für den aktiven Menschen http://t.co/myZ2L9BMvO
Neutral;RT @onlinevitalshop: Veganes Superfood mit Kürbiskernprotein http://t.co/myZ2L9BMvO
Neutral;#Stevia: #Süßen ohne #Kalorien http://t.co/idaNnEAB7F
Negative;RT @heisec: Crowdfunding-Plattform Kickstarter gehackt http://t.co/MFRMVosaMx #Crowdfunding
Neutral;RT @onlinevitalshop: Vorsicht bei #Lebensmitteln mit #gehärteten #Fetten http://t.co/Y4UjxG91Q6
Neutral;RT @regionhannover_: Heute wird in der Region #Hannover gewählt: Bürgermeisterwahl in #Burgwedel. Geht zur #Wahl, wenn ihr dort lebt! http:…
