OPINIAO;EMPRESA;SERVIÇO;POSSIBLY_SENSITIVE_IS_CORRECT;LOCAL_CIDADE;LOCAL_ESTADO;LOCAL_PAÍS;SEXO_USUÁRIO;id_str;possibly_sensitive;created_at;source;retweet_count;favorite_count;tweet;user_description;user_screen_name;user_followers_count;user_name;user_location;place_country_code;place_country;place_full_name;place_place_type;place_name
Irrelevante;Banco do Brasil;;Sim;Brasília;Distrito Federal;Brasil;Não se aplica;3,86E+17;false;Thu Oct 03 15:51:36 +0000 2013;web;0;0;O @BancodoBrasil não está operando em sua capacidade plena. Necessidades podem ser solucionadas também por aqui: http://t.co/d8SFga9Ywx.;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60019;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;;Sim;Brasília;Distrito Federal;Brasil;Não se aplica;3,86E+17;false;Fri Oct 04 00:02:18 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Com a rede de Correspondentes Mais BB, você faz diversas transações em supermercados, drogarias e muitos outros: http://t.co/N0MpC5lOBb.;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60045;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;;;;;Brasil;Masculino;3,88E+17;N;Wed Oct 09 21:15:11 +0000 2013;"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>";0;0;#Logística. Cuiabá solicitou R$215 milhões para construção de silos, diz #BancodoBrasil. http://t.co/yooG9nHnd6;A pecuária e a agricultura em 140 caracteres. O agronegócio direto ao ponto.;scotconsultoria;6310;Scot Consultoria;Brasil;;;;;
Irrelevante;Banco do Brasil;;;Brasília;Distrito Federal;Brasil;Não se aplica;3,88E+17;;Thu Oct 10 00:02:47 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Na hora de fazer uma fezinha, aproveite as Lotéricas pra fazer saques e consultar o saldo da sua conta corrente:...;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60431;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;;Sim;Brasília;Distrito Federal;Brasil;Não se aplica;3,89E+17;false;Fri Oct 11 15:03:34 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;E aí? Descobriu o que é um DOC? Saiba a resposta: http://t.co/us9n7xpxmY :);"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60562;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;;Sim;São Paulo;São Paulo;Brasil;Não se aplica;3,89E+17;false;Fri Oct 11 20:06:40 +0000 2013;web;0;0;Bora ser seu próprio chefe, trabalhar com esportes e ganhar 20 mil reais? A #InterU e o @BancoDoBrasil explicam como: http://t.co/ZgbqthSluF;A sua rádio onde você estiver.;transamericapop;81488;Rádio Transamérica;São Paulo/SP;;;;;
Irrelevante;Banco do Brasil;;Sim;Brasília;Distrito Federal;Brasil;Não se aplica;3,89E+17;false;Fri Oct 11 23:02:57 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;BB Consórcio: um jeito inteligente de comprar sua bicicleta elétrica e ajudar a preservar o Planeta: http://t.co/3UimiRMY83.;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60600;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;;Sim;Brasília;Distrito Federal;Brasil;Não se aplica;3,90E+17;false;Mon Oct 14 20:03:06 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Saiba como evitar notas falsas: http://t.co/8d51awZeGL. O que valia muito pode acabar não valendo nada. #FicaDica;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60833;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;;Sim;Brasília;Distrito Federal;Brasil;Não se aplica;3,90E+17;false;Wed Oct 16 14:48:12 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Com o BB Crediário vc tem liberdade pra viajar pra onde quiser. Só não se esqueça de deixar um bilhete em casa: http://t.co/u5ZkDvIUAy.;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;60986;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Propaganda;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,91E+17;false;Thu Oct 17 21:27:15 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;"Ficou mais caro do que você esperava? Nem tudo está perdido, o BB pode te ajudar: http://t.co/u5ZkDvIUAy ;) http://t.co/rcQqdo4CBq";"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61156;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,91E+17;false;Fri Oct 18 21:02:44 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Vc sabe o que significa TED? http://t.co/946eqNwuyP Com ele, vc transfere valores acima de mil reais. Daqui a pouco a gente dá a resposta.;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61270;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Informação ao Cliente;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,92E+17;false;Sat Oct 19 22:02:29 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Amando ou não, quem tá no Sul, Sudeste e Centro-Oeste precisa adiantar 1h os relógios este domingo. #HoráriodeVerão http://t.co/0EfessCLxm;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61375;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Propaganda;True;;Rio de Janeiro;Brasil;Masculino;3,92E+17;N;Sun Oct 20 12:32:56 +0000 2013;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";0;0;#torcidabrasil #bancodobrasil http://t.co/qTpnRxI0Xy;Designer e Fotógrafo que gosta muito de: Games, Filmes, Esportes e aventuras;MagalhaesWeb;1707;Marcelo Magalhães;Rio de Janeiro;;;;;
Irrelevante;Banco do Brasil;Propaganda;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,93E+17;false;Tue Oct 22 22:00:49 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Você sabe como usar os serviços BB por SMS? Saiba como se cadastrar: http://t.co/ruDQktVhJc. http://t.co/noK8tqIGOb;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61624;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Informação ao Cliente;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,93E+17;false;Wed Oct 23 18:05:27 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Em vez de pagar caro em restaurantes, leve uma marmita de casa. Assim você economiza e fica #ForadoAperto. http://t.co/ydgZ4zXcYY;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61701;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Propaganda;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,93E+17;false;Thu Oct 24 18:04:58 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Se liga na dica! A senha do seu cartão deve andar dentro da sua cabeça, não da sua carteira. http://t.co/ep7np164rT;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61797;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Propaganda;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,94E+17;N;Fri Oct 25 12:12:46 +0000 2013;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";0;0;O #BancodoBrasil poderá ter maior participação de capital estrangeiro. Um decreto presidencial publicado hoje no... http://t.co/kfSg5ZCLDo;Agência Brasil é um veículo da EBC - Empresa Brasil de Comunicação;agenciabrasil;32822;Agência Brasil;Brasília - DF, Brasil;;;;;
Irrelevante;Banco do Brasil;Informação ao Cliente;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,94E+17;false;Fri Oct 25 21:02:30 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;E aí? Adivinhou pra que serve a Bolsa de Valores? http://t.co/Xdc2UXxZzn;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;61891;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Informação ao Cliente;False;Brasília;Distrito Federal;Brasil;Não se aplica;3,96E+17;false;Thu Oct 31 16:02:32 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Evite realizar check-in na agência para não atrair quem você não quer encontrar na saída do Banco. #NãoDêBobeira http://t.co/4vJrSO1wmO;"Perfil institucional do BB no Twitter ;)";BancodoBrasil;62457;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;São Paulo;Brasil;Masculino;3,97E+17;N;Sat Nov 02 15:31:07 +0000 2013;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";0;0;Hj tem circuito #BancoDoBrasil Bs smith @pedrobarrossk8 #skateboarding #skate #brasil… http://t.co/wmuiMyzqrp;Skateboarder;_MarceloBastos_;3853;Marcelo Bastos;Sao Paulo, Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Vitória;Espírito Santo;Brasil;Masculino;3,97E+17;false;Sun Nov 03 20:35:01 +0000 2013;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";1;0;"""#FHC do @Rede45 privatizaria a @petrobras o @BancodoBrasil e a @CAIXA"" | http://t.co/sFPVCZ7ELB via @brasil247

@JNTVGloboBrasil MENTE P/VC";Continuo do lado das pessoas que sonham e trabalham por uma sociedade mais justa e por um Brasil com Mais Médicos, Mais Professores, Mais Dentistas, Mais ...;geraldoazevedof;3259;DILMA - 2014;Vitória - ES - BRASIL;;;;;
Irrelevante;Banco do Brasil;Banco;;Vitória;Espírito Santo;Brasil;Masculino;3,97E+17;false;Sun Nov 03 20:35:01 +0000 2013;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";1;0;"""#FHC do @Rede45 privatizaria a @petrobras o @BancodoBrasil e a @CAIXA"" | http://t.co/sFPVCZ7ELB via @brasil247

@JNTVGloboBrasil MENTE P/VC";Continuo do lado das pessoas que sonham e trabalham por uma sociedade mais justa e por um Brasil com Mais Médicos, Mais Professores, Mais Dentistas, Mais ...;geraldoazevedof;3259;DILMA - 2014;Vitória - ES - BRASIL;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;3,97E+17;false;Mon Nov 04 21:00:31 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;"Agora é a vez deles. Se você também apoia o #NovembroAzul, dê RT nessa ideia! ;) http://t.co/eaMaHYVBWF";Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;62676;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;3,97E+17;false;Mon Nov 04 23:02:46 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Quer transferir dinheiro para alguém que não tem conta em banco? Agora você pode! Conheça o BB Conta de Pagamento: http://t.co/emUhHgIP7z.;Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;62681;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Alagoa Nova;Paraíba;Brasil;Masculino;3,98E+17;N;Wed Nov 06 16:31:29 +0000 2013;"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>";0;0;Banco do Brasil lança produto que permite transferência bancária para beneficiário sem conta  #BancoDoBrasil http://t.co/AADfoFOIoQ;Estudante de Jornalismo/UEPB, Editor do Blog #ValeImaginar Apresentador do Programa #AlagoaNovaEmDestaque,Modelo e Pai do Roberto torcedor do futebol da Paraíba;JefBarbosa;558;JEFFERSON BARBOSA;ALAGOA NOVA;;;;;
Irrelevante;Banco do Brasil;Banco;;;;;Não se aplica;3,98E+17;N;Wed Nov 06 21:36:36 +0000 2013;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";0;0;Banco do Brasil recorre ao NFC para dispensar senha em compras de até R$ 50. http://t.co/Yj6ALCmgsG #BancodoBrasil... http://t.co/gaL7pBJrya;Blog atualizado diáriamente com notícias, reviews, tutoriais, dicas e aplicativos para você ficar por dentro de tudo o que acontece no mundo Android!;DiariodoAndroid;44899;Diário do Android;;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;3,98E+17;false;Wed Nov 06 22:02:09 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Aprenda a autorizar o Internet Banking pelo celular em 3 passos e tenha todos os benefícios do BB na palma da mão: http://t.co/yAfa7JaZcr.;Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;62918;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Alagoa Nova;Paraíba;Brasil;Masculino;3,98E+17;N;Thu Nov 07 14:39:58 +0000 2013;"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>";0;0;#BancoDoBrasil Banco do Brasil lança produto que permite transferência bancária para beneficiário sem conta http://t.co/FXsmqTn7gc;Estudante de Jornalismo/UEPB, Editor do Blog #ValeImaginar Apresentador do Programa #AlagoaNovaEmDestaque,Modelo e Pai do Roberto torcedor do futebol da Paraíba;JefBarbosa;558;JEFFERSON BARBOSA;ALAGOA NOVA;;;;;
Irrelevante;Banco do Brasil;Banco;;Rio de Janeiro;Rio de Janeiro;Brasil;Masculino;3,99E+17;false;Thu Nov 07 21:58:33 +0000 2013;"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>";0;0;RT @BlogDoTato: Fundação @BancodoBrasil [do pt] desviou R$ 36 milhões a ONGs ligadas ao PTzão, diz jornal  http://t.co/K69wxOFPgb;Jornalista.;MirandaSa_;6368;Miranda Sá;Rio de Janeiro-RJ;;;;;
Irrelevante;Banco do Brasil;Banco;;Porto Alegre;Rio Grande do Sul;Brasil;Masculino;3,99E+17;;Sat Nov 09 05:55:44 +0000 2013;web;0;0;@BancodoBrasil ahnn o que aconteceu com o twitter @MaisBB? Não consigo responder nem achar;Apaixonado por Empreendedorismo, Web, Comércio Eletrônico, SEO, Marketing Digital e tudo mais que for relacionado.;brunopicinini;805;Bruno M. Picinini;Porto Alegre;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;3,99E+17;false;Sat Nov 09 16:03:27 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Até o dia 30/11 cliente BB emite passagens pela Azul usando a partir de 3 mil pontos por trecho: http://t.co/bWDiFmkiZZ.;Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;63151;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Rio de Janeiro;Rio de Janeiro;Brasil;Feminino;4,00E+17;N;Mon Nov 11 02:25:54 +0000 2013;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";0;0;??????  #show #rhcp #redhotchilipeppers #rio #brasil #bancodobrasil http://t.co/Bsw16JPGdH;Aquariana | Carioca | Estudante de Direito | VASCAÍNA!;DesirreSoares_;281;Desirre Soares;Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;São Paulo;Brasil;Masculino;4,00E+17;N;Mon Nov 11 14:41:03 +0000 2013;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";0;0;#bancodobrasil #Petropolis #RiodeJaneiro #ruadoimperador http://t.co/QVBoqMDMMv;Make-up Artist.;oficial_fabinho;318;Fábio Gonçalves;São Paulo;;;;;
Irrelevante;Banco do Brasil;Banco;;;;Brasil;Não se aplica;4,00E+17;N;Tue Nov 12 11:53:22 +0000 2013;web;0;0;Banco do Brasil: Lucro recorde http://t.co/UbGiiSIyqA #BB #BancoDoBrasil #Lucro;Cotações, Índices, Bolsas de Valores e Comunidade Financeira.;ADVFNBRASIL;10217;ADVFN BRASIL;Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;4,00E+17;false;Tue Nov 12 21:00:24 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;#DarBobeiraÉ achar que o BB envia e-mail pedindo a atualização dos seus dados cadastrais ou com resultado de sorteio: http://t.co/mufifteIdW;Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;63320;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;;Brasil;Não se aplica;4,00E+17;N;Tue Nov 12 21:05:09 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;#Balanço mostra q financiamento de imóvel popular pelo #BancodoBrasil cresceu 15% no terceiro trimestre de 2013: http://t.co/mdpAk5IeiR;"Telejornal da TV Brasil - a televisão pública brasileira. Exibido de segunda a sexta-feira às 12h e 21h; aos sábados, às 21h.";reporterbrasil;16056;reporterbrasil;;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;4,01E+17;false;Wed Nov 13 23:03:12 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;O Banco do Brasil apresenta a Revista Estilo. Cultura, viagem, gastronomia, moda, design, tendências e muito mais: http://t.co/PAcwvt6Sq5.;Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;63383;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;4,01E+17;false;Thu Nov 14 21:03:28 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Colabore com o ciclo da água! O @BancoDoBrasil está fazendo sua parte com o projeto Água Brasil. Conheça: http://t.co/J1zu9TZ5GQ.;Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;63426;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;;Brasil;Masculino;4,03E+17;true;Tue Nov 19 21:05:45 +0000 2013;web;1;0;@veja para onde foi parte dos R$ 73 milhões que Pizzolato do @bancodobrasil liberou para a DNA Propaganda: http://t.co/kajeSd40EZ #ap470 !!!;Bloguista do Portal Comunique-se - certificado por etc. gene e tal: http://is.gd/sk1JSm que deita e rola. Ah!  #VotoAécio Presidente;BlogDoTato;1273;Tato De Macedo ?????;Brasil, de Bananas e Bundas ;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;4,03E+17;false;Wed Nov 20 12:04:04 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Hoje é o Dia Nacional da Consciência Negra e essa é uma homenagem do Banco do Brasil: http://t.co/1698ZSm8Io :);Seja bem-vindo ao perfil oficial do BB no Twitter. Conheça nossas regras de uso e aproveite este espaço: http://on.fb.me/172K2M8;BancodoBrasil;63838;Banco do Brasil;Brasília (DF), Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;;;Feminino;4,04E+17;;Fri Nov 22 00:31:13 +0000 2013;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>";0;0;deus nos abençoe amém!!! #sonhar @bb;"Hi,everbody :) 
?";NicoleAraujo812;1;Nicole Araujo;;;;;;
Irrelevante;Banco do Brasil;Banco;;;São Paulo;Brasil;Masculino;4,05E+17;N;Sun Nov 24 19:47:37 +0000 2013;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";0;0;13 dias até a quinta etapa da #CopaBrasilDeSkateVertical #bancodobrasil #brasilia http://t.co/G2bMy9I3RZ;Skateboarder;_MarceloBastos_;3951;Marcelo Bastos;Sao Paulo, Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;;Brasil;Não se aplica;4,05E+17;false;Mon Nov 25 23:20:13 +0000 2013;"<a href=""http://www.scup.com.br"" rel=""nofollow"">Scup</a>";0;0;BB ultrapassa R$ 500 milhões em programa de agronegócio. http://t.co/pUSdsvJ9ID @BancodoBrasil;Canal com notícias em tempo real, prestação de serviços e convergência de conteúdos do Governo Federal.;portalbrasil;215855;Portal Brasil;Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;Brasília;Distrito Federal;Brasil;Não se aplica;4,05E+17;N;Tue Nov 26 01:08:50 +0000 2013;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";0;0;#BancodoBrasil avalia ação para recuperar dinheiro desviado no mensalão. O banco pediu para o presidente do #STF,... http://t.co/9qw6ES5FRQ;Agência Brasil é um veículo da EBC - Empresa Brasil de Comunicação;agenciabrasil;34340;Agência Brasil;Brasília - DF, Brasil;;;;;
Irrelevante;Banco do Brasil;Banco;;;;;Não se aplica;4,05E+17;false;Tue Nov 26 12:59:46 +0000 2013;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>";0;0;Itaú, Bradesco e Banco do Brasil são as marcas mais valiosas do país. (http://t.co/Au1AmgxLfR)  #interbrand #itaú #bradesco #bb;Você sintonizado com o mercado;mundodmarketing;117469;Mundo do Marketing;;;;;;
