"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"251140 Picuí";4;0;0;7;0;6;17
"251150 Pilar";2;0;0;4;0;6;12
"251160 Pilões";2;0;0;2;0;3;7
"251170 Pilõezinhos";0;0;0;4;0;3;7
"251180 Pirpirituba";1;2;0;5;0;5;13
"251190 Pitimbu";6;2;0;32;0;17;57
"251200 Pocinhos";0;0;0;2;0;8;10
"251203 Poço Dantas";0;0;0;0;0;1;1
"251210 Pombal";8;1;0;9;0;16;34
"251220 Prata";0;0;0;1;0;0;1
"251230 Princesa Isabel";1;0;0;7;0;3;11
"251240 Puxinanã";2;0;0;1;0;6;9
"251250 Queimadas";7;1;2;14;0;36;60
"251260 Quixabá";1;0;0;0;0;0;1
"251270 Remígio";1;2;0;5;0;6;14
"251274 Riachão";0;0;0;0;0;3;3
"251275 Riachão do Bacamarte";0;0;0;1;0;2;3
"251276 Riachão do Poço";1;0;0;1;0;0;2
"251280 Riacho dos Cavalos";1;0;0;1;0;0;2
"251290 Rio Tinto";6;2;0;36;7;35;86
"251300 Salgadinho";1;0;0;0;0;2;3
"251310 Salgado de São Félix";2;0;0;6;0;2;10
"251315 Santa Cecília";1;0;0;0;0;3;4
"251320 Santa Cruz";2;0;0;0;0;3;5
"251330 Santa Helena";0;0;0;1;0;1;2
"251340 Santa Luzia";4;2;0;3;0;6;15
"251370 Santa Rita";39;5;3;196;1;141;385
"251380 Santa Teresinha";0;0;0;1;0;2;3
"251350 Santana de Mangueira";0;0;0;0;0;1;1
"251360 Santana dos Garrotes";0;0;0;0;0;1;1
"251385 Santo André";1;0;0;0;0;3;4
"251390 São Bento";6;0;0;7;0;16;29
"251394 São Domingos do Cariri";0;0;0;1;0;0;1
"251398 São Francisco";0;0;0;1;0;2;3
"251400 São João do Cariri";0;0;0;1;0;1;2
"250070 São João do Rio do Peixe";3;0;0;1;0;3;7
"251410 São João do Tigre";0;0;0;2;0;0;2
"251420 São José da Lagoa Tapada";0;0;0;1;0;1;2
"251450 São José de Piranhas";3;1;0;3;0;9;16
"251460 São José do Bonfim";1;0;0;0;0;2;3
"251470 São José do Sabugi";1;0;0;0;0;2;3
"251480 São José dos Cordeiros";0;0;0;1;0;1;2
"251445 São José dos Ramos";5;0;0;1;0;1;7
"251490 São Mamede";2;0;0;5;0;4;11
"251500 São Miguel de Taipu";0;0;0;4;0;3;7
"251510 São Sebastião de Lagoa de Roça";1;1;0;1;0;3;6
"251530 Sapé";12;4;0;56;0;38;110
"251540 Seridó";1;0;0;2;0;2;5
"251550 Serra Branca";2;0;0;5;0;5;12
"251560 Serra da Raiz";0;0;0;3;0;2;5
"251580 Serra Redonda";5;1;0;7;0;24;37
"251590 Serraria";0;1;0;1;0;2;4
"251593 Sertãozinho";1;0;0;4;0;1;6
"251597 Sobrado";1;0;0;1;0;1;3
"251600 Solânea";4;0;0;9;0;13;26
"251610 Soledade";4;0;0;5;0;11;20
"251615 Sossêgo";2;0;0;0;0;1;3
"251620 Sousa";10;2;0;38;0;38;88
"251630 Sumé";0;0;0;11;0;13;24
"251650 Taperoá";0;1;0;2;0;6;9
"251660 Tavares";1;0;0;5;0;1;7
"251670 Teixeira";1;0;0;3;0;5;9
"251675 Tenório";0;0;0;1;0;1;2
"251680 Triunfo";0;0;0;2;0;4;6
"251690 Uiraúna";2;0;0;7;0;4;13
"251700 Umbuzeiro";5;2;0;4;0;4;15
"251710 Várzea";0;0;0;1;0;1;2
"251720 Vieirópolis";0;0;0;2;0;2;4
"250550 Vista Serrana";0;0;0;0;0;1;1
"251740 Zabelê";1;0;0;0;0;0;1
"250000 Município ignorado - PB";0;0;0;0;0;2;2
"260005 Abreu e Lima";54;23;1;117;1;243;439
"260010 Afogados da Ingazeira";6;1;0;9;0;19;35
"260020 Afrânio";1;1;0;4;0;8;14
"260030 Agrestina";3;0;0;13;0;10;26
"260040 Água Preta";0;7;0;28;0;26;61
"260050 Águas Belas";2;1;0;10;5;16;34
"260060 Alagoinha";4;0;0;2;0;3;9
"260070 Aliança";8;1;0;23;0;33;65
"260080 Altinho";6;0;0;4;0;15;25
"260090 Amaraji";3;4;0;15;0;16;38
"260100 Angelim";1;0;0;6;0;6;13
"260105 Araçoiaba";5;1;0;5;0;15;26
"260110 Araripina";6;2;0;33;0;26;67
"260120 Arcoverde";16;2;0;38;1;58;115
"260130 Barra de Guabiraba";3;1;0;3;0;3;10
"260140 Barreiros";16;5;0;41;0;54;116
"260150 Belém de Maria";1;0;0;10;0;8;19
"260160 Belém de São Francisco";3;2;0;7;0;10;22
"260170 Belo Jardim";14;2;0;39;0;52;107
"260180 Betânia";0;0;0;0;0;19;19
"260190 Bezerros";18;1;0;24;0;46;89
"260200 Bodocó";1;0;0;5;0;10;16
"260210 Bom Conselho";1;1;0;7;0;15;24
"260220 Bom Jardim";5;0;0;12;0;27;44
"260230 Bonito";8;3;0;14;0;23;48
"260240 Brejão";1;0;0;3;0;4;8
"260250 Brejinho";1;0;0;1;0;2;4
"260260 Brejo da Madre de Deus";17;0;0;17;0;19;53
"260270 Buenos Aires";0;1;0;5;0;13;19
"260280 Buíque";0;1;1;14;0;17;33
"260290 Cabo de Santo Agostinho";111;64;1;375;0;543;1094
"260300 Cabrobó";1;0;0;9;0;5;15
"260310 Cachoeirinha";8;1;0;5;0;16;30
"260320 Caetés";0;0;0;3;0;4;7
"260330 Calçado";1;0;0;3;0;1;5
"260340 Calumbi";0;0;0;0;0;1;1
"260345 Camaragibe";67;31;1;162;0;286;547
"260350 Camocim de São Félix";4;0;0;8;0;13;25
"260360 Camutanga";1;0;1;0;0;7;9
"260370 Canhotinho";1;0;0;5;0;8;14
"260380 Capoeiras";2;0;0;4;0;6;12
"260390 Carnaíba";0;0;0;0;0;5;5
"260392 Carnaubeira da Penha";0;0;0;0;1;2;3
"260400 Carpina";14;5;0;85;0;84;188
"260410 Caruaru";253;30;2;410;1;401;1097
"260415 Casinhas";2;0;0;7;0;3;12
"260420 Catende";11;2;0;38;0;38;89
"260430 Cedro";1;0;0;1;0;2;4
"260440 Chã de Alegria";1;2;0;10;0;7;20
"260450 Chã Grande";3;1;0;10;0;11;25
"260460 Condado";5;2;0;22;0;27;56
"260470 Correntes";2;0;0;9;0;7;18
"260480 Cortês";1;3;0;6;0;5;15
"260490 Cumaru";3;0;0;7;0;5;15
"260500 Cupira";8;2;0;12;0;13;35
"260510 Custódia";4;2;0;9;0;16;31
"260515 Dormentes";0;0;0;1;0;0;1
"260520 Escada";26;20;0;96;0;101;243
"260530 Exu";0;0;0;3;0;10;13
"260540 Feira Nova";7;1;0;10;0;18;36
"260545 Fernando de Noronha";0;0;0;3;0;4;7
"260550 Ferreiros";2;0;0;4;0;9;15
"260560 Flores";0;0;0;3;0;10;13
"260570 Floresta";0;1;0;6;0;3;10
"260580 Frei Miguelinho";2;0;0;1;0;3;6
"260590 Gameleira";4;2;0;24;0;25;55
"260600 Garanhuns";60;5;1;91;0;99;256
"260610 Glória do Goitá";2;2;1;7;0;12;24
"260620 Goiana";40;20;0;140;0;149;349
"260640 Gravatá";27;2;0;48;0;85;162
"260650 Iati";1;1;0;4;0;3;9
"260660 Ibimirim";0;0;0;3;0;5;8
"260670 Ibirajuba";3;1;0;4;0;6;14
"260680 Igarassu";37;18;0;127;0;155;337
"260690 Iguaraci";0;0;0;2;0;3;5
"260760 Ilha de Itamaracá";8;4;0;28;0;47;87
"260700 Inajá";2;1;0;1;0;7;11
"260710 Ingazeira";0;0;0;0;0;2;2
"260720 Ipojuca";29;32;0;151;1;183;396
"260730 Ipubi";0;0;0;3;0;7;10
"260740 Itacuruba";0;1;0;0;0;1;2
"260750 Itaíba";1;0;0;1;0;3;5
"260765 Itambé";15;5;1;38;0;34;93
"260770 Itapetim";1;0;0;3;0;9;13
"260775 Itapissuma";12;10;1;48;0;82;153
"260780 Itaquitinga";0;4;0;11;0;10;25
"260790 Jaboatão dos Guararapes";525;173;8;1251;3;1695;3655
"260795 Jaqueira";2;0;0;5;0;3;10
"260800 Jataúba";0;1;0;2;0;4;7
"260805 Jatobá";1;1;0;0;0;3;5
"260810 João Alfredo";9;1;0;11;1;11;33
"260820 Joaquim Nabuco";1;1;0;7;0;14;23
"260825 Jucati";1;0;0;4;0;1;6
"260830 Jupi";0;1;0;9;0;5;15
"260840 Jurema";4;1;0;4;0;3;12
"260845 Lagoa do Carro";0;3;0;2;0;10;15
"260850 Lagoa do Itaenga";6;1;0;18;0;15;40
"260860 Lagoa do Ouro";5;0;0;5;0;9;19
"260870 Lagoa dos Gatos";3;0;0;9;0;6;18
"260875 Lagoa Grande";0;0;1;4;0;8;13
"260880 Lajedo";7;1;1;18;0;18;45
"260890 Limoeiro";18;5;0;46;0;82;151
"260900 Macaparana";3;2;0;3;0;6;14
"260910 Machados";1;0;0;3;0;7;11
"260915 Manari";0;0;0;1;0;2;3
"260920 Maraial";0;0;0;6;0;6;12
"260930 Mirandiba";3;2;0;3;0;2;10
"261430 Moreilândia";1;0;0;1;0;1;3
"260940 Moreno";21;10;0;45;0;64;140
"260950 Nazaré da Mata";2;7;0;13;0;29;51
"260960 Olinda";230;98;3;614;6;1499;2450
"260970 Orobó";1;1;0;2;0;12;16
"260980 Orocó";0;0;0;2;0;0;2
"260990 Ouricuri";2;0;0;15;0;21;38
"261000 Palmares";22;9;0;61;0;69;161
"261010 Palmeirina";4;0;0;1;0;1;6
"261020 Panelas";0;0;0;4;0;5;9
"261030 Paranatama";3;0;0;1;0;3;7
"261040 Parnamirim";1;0;0;6;0;5;12
"261050 Passira";5;1;0;10;0;12;28
"261060 Paudalho";8;4;1;40;0;50;103
"261070 Paulista";173;55;4;465;3;772;1472
"261080 Pedra";3;1;0;3;0;8;15
"261090 Pesqueira";14;5;0;27;0;39;85
"261100 Petrolândia";2;1;0;9;0;16;28
"261110 Petrolina";44;16;2;296;1;353;712
"261120 Poção";3;1;0;3;0;1;8
"261130 Pombos";6;4;0;10;0;18;38
"261140 Primavera";2;2;0;12;0;18;34
"261150 Quipapá";3;0;0;5;0;4;12
"261153 Quixaba";3;0;0;1;0;2;6
"261160 Recife";1376;598;20;3407;11;5523;10935
"261170 Riacho das Almas";2;1;0;6;0;10;19
"261180 Ribeirão";11;6;2;41;0;37;97
"261190 Rio Formoso";4;6;0;25;0;37;72
"261200 Sairé";1;1;0;2;0;5;9
"261210 Salgadinho";0;0;0;2;0;2;4
"261220 Salgueiro";8;2;0;36;0;43;89
"261230 Saloá";0;0;0;2;0;1;3
"261240 Sanharó";5;0;0;10;0;11;26
"261245 Santa Cruz";1;0;0;0;0;3;4
"261247 Santa Cruz da Baixa Verde";1;0;0;2;0;0;3
"261250 Santa Cruz do Capibaribe";32;1;0;59;0;63;155
"261255 Santa Filomena";0;0;0;0;0;1;1
"261260 Santa Maria da Boa Vista";1;0;0;14;0;8;23
"261270 Santa Maria do Cambucá";0;1;0;3;0;7;11
"261280 Santa Terezinha";0;2;0;2;0;5;9
"261290 São Benedito do Sul";0;0;0;4;0;0;4
"261300 São Bento do Una";10;2;0;12;0;22;46
"261310 São Caitano";18;4;0;25;0;25;72
"261320 São João";1;0;0;9;0;3;13
"261330 São Joaquim do Monte";3;0;0;6;0;13;22
"261340 São José da Coroa Grande";2;2;0;16;1;27;48
"261350 São José do Belmonte";2;0;0;12;0;12;26
"261360 São José do Egito";5;0;0;4;0;11;20
"261370 São Lourenço da Mata";48;22;2;96;0;180;348
"261380 São Vicente Ferrer";1;2;0;4;0;13;20
"261390 Serra Talhada";9;4;0;32;0;49;94
"261400 Serrita";2;0;0;7;0;8;17
"261410 Sertânia";9;1;0;12;0;27;49
"261420 Sirinhaém";8;8;0;31;0;43;90
"261450 Surubim";13;1;0;29;1;56;100
"261460 Tabira";2;1;0;9;0;10;22
"261470 Tacaimbó";2;0;0;2;0;6;10
"261480 Tacaratu";0;0;0;2;3;0;5
"261485 Tamandaré";4;8;0;36;0;31;79
"261500 Taquaritinga do Norte";5;1;0;9;0;18;33
"261520 Terra Nova";1;0;0;2;0;2;5
"261530 Timbaúba";10;1;1;31;0;47;90
"261540 Toritama";5;0;0;8;0;13;26
"261550 Tracunhaém";0;1;0;6;0;3;10
"261560 Trindade";7;3;0;16;0;22;48
"261570 Triunfo";0;0;0;1;0;11;12
"261580 Tupanatinga";0;0;0;0;0;4;4
"261590 Tuparetama";0;0;0;5;0;5;10
"261600 Venturosa";3;0;0;4;0;7;14
"261610 Verdejante";4;0;0;2;0;4;10
"261618 Vertente do Lério";0;0;0;1;0;4;5
"261620 Vertentes";5;0;0;5;0;11;21
"261630 Vicência";1;2;0;13;0;17;33
"261640 Vitória de Santo Antão";67;21;0;104;1;230;423
"261650 Xexéu";4;0;0;9;0;10;23
"260000 Município ignorado - PE";0;0;0;0;0;8;8
"270010 Água Branca";0;0;0;2;0;3;5
"270020 Anadia";2;1;0;10;0;7;20
"270030 Arapiraca";22;7;0;155;0;124;308
"270040 Atalaia";6;3;0;26;0;7;42
"270050 Barra de Santo Antônio";2;1;0;21;0;16;40
"270060 Barra de São Miguel";1;3;0;4;0;3;11
"270070 Batalha";0;0;0;4;0;3;7
"270080 Belém";0;0;0;3;0;6;9
"270100 Boca da Mata";3;1;0;16;0;8;28
"270110 Branquinha";1;0;0;5;0;2;8
"270120 Cacimbinhas";1;0;0;1;0;2;4
"270130 Cajueiro";2;0;0;5;0;6;13
"270135 Campestre";0;1;0;6;0;2;9
"270140 Campo Alegre";1;4;0;23;0;9;37
"270150 Campo Grande";0;0;0;1;0;3;4
"270160 Canapi";1;0;0;2;0;5;8
"270170 Capela";1;0;0;7;0;2;10
"270190 Chã Preta";0;0;0;4;0;1;5
"270200 Coité do Nóia";1;0;0;5;0;1;7
"270210 Colônia Leopoldina";3;1;0;10;0;7;21
"270220 Coqueiro Seco";0;0;0;5;0;2;7
"270230 Coruripe";5;1;0;23;0;18;47
"270235 Craíbas";0;1;0;2;0;10;13
"270240 Delmiro Gouveia";4;0;0;26;0;17;47
"270250 Dois Riachos";0;1;0;3;0;4;8
"270255 Estrela de Alagoas";0;0;0;0;0;5;5
"270260 Feira Grande";0;1;0;4;0;5;10
"270270 Feliz Deserto";0;0;0;1;0;2;3
"270280 Flexeiras";1;1;0;9;0;7;18
"270290 Girau do Ponciano";1;0;0;4;0;7;12
"270300 Ibateguara";1;0;0;4;0;6;11
"270310 Igaci";2;0;0;10;0;3;15
"270320 Igreja Nova";0;0;0;3;0;3;6
"270330 Inhapi";1;0;0;1;0;2;4
"270340 Jacaré dos Homens";0;0;0;4;0;0;4
"270350 Jacuípe";0;0;0;2;0;1;3
"270360 Japaratinga";0;0;0;4;0;2;6
"270375 Jequiá da Praia";1;0;0;4;0;2;7
"270380 Joaquim Gomes";3;1;0;22;0;6;32
"270390 Jundiá";0;0;0;3;0;0;3
"270400 Junqueiro";1;0;0;19;0;9;29
"270410 Lagoa da Canoa";1;1;0;4;0;2;8
"270420 Limoeiro de Anadia";1;0;0;11;0;3;15
"270430 Maceió";436;178;2;1877;2;1543;4038
"270440 Major Isidoro";1;0;0;4;0;3;8
"270450 Maragogi";4;6;0;31;0;11;52
"270460 Maravilha";0;0;0;6;0;2;8
"270470 Marechal Deodoro";9;3;0;40;0;30;82
"270480 Maribondo";0;0;0;3;0;2;5
"270500 Mata Grande";0;1;0;4;0;2;7
"270510 Matriz de Camaragibe";1;4;1;38;0;14;58
"270520 Messias";2;1;0;15;0;8;26
"270530 Minador do Negrão";1;0;0;0;0;0;1
"270540 Monteirópolis";1;0;0;2;0;0;3
"270550 Murici";3;3;0;43;0;14;63
"270560 Novo Lino";0;1;0;12;0;6;19
"270570 Olho d'Água das Flores";2;0;0;5;0;5;12
"270580 Olho d'Água do Casado";0;0;0;3;0;2;5
"270590 Olho d'Água Grande";0;0;0;1;0;3;4
"270600 Olivença";0;0;0;12;0;2;14
"270610 Ouro Branco";0;0;0;3;0;0;3
"270620 Palestina";0;0;0;2;0;0;2
"270630 Palmeira dos Índios";7;5;0;36;2;37;87
"270640 Pão de Açúcar";1;0;0;7;0;9;17
"270642 Pariconha";0;0;0;1;0;1;2
"270644 Paripueira";0;2;0;6;0;8;16
"270650 Passo de Camaragibe";0;1;0;5;0;8;14
"270660 Paulo Jacinto";0;0;0;3;0;3;6
"270670 Penedo";2;1;0;29;0;22;54
"270680 Piaçabuçu";0;0;0;14;0;4;18
"270690 Pilar";2;6;0;33;0;16;57
"270700 Pindoba";0;0;0;1;0;0;1
"270710 Piranhas";1;0;0;12;0;7;20
"270720 Poço das Trincheiras";0;0;0;0;0;1;1
"270730 Porto Calvo";3;3;0;30;0;8;44
"270740 Porto de Pedras";0;0;0;6;0;6;12
"270750 Porto Real do Colégio";1;1;0;12;2;2;18
"270760 Quebrangulo";1;0;0;4;0;4;9
"270770 Rio Largo";10;2;1;64;0;37;114
"270780 Roteiro";0;0;0;0;0;1;1
"270790 Santa Luzia do Norte";3;0;0;2;0;2;7
"270800 Santana do Ipanema";7;1;0;19;0;13;40
"270810 Santana do Mundaú";0;0;0;2;0;1;3
"270820 São Brás";0;0;0;4;0;2;6
"270830 São José da Laje";3;3;0;12;0;6;24
"270840 São José da Tapera";4;0;0;6;0;7;17
"270850 São Luís do Quitunde";1;4;0;35;0;16;56
"270860 São Miguel dos Campos";8;3;0;52;1;41;105
"270870 São Miguel dos Milagres";0;2;0;2;0;2;6
"270880 São Sebastião";1;0;0;16;0;7;24
"270890 Satuba";3;1;0;8;0;6;18
"270895 Senador Rui Palmeira";0;0;0;1;0;0;1
"270900 Tanque d'Arca";0;0;0;3;0;3;6
"270910 Taquarana";1;0;0;3;0;5;9
"270915 Teotônio Vilela";1;2;0;22;0;16;41
"270920 Traipu";0;0;0;1;0;0;1
"270930 União dos Palmares";10;5;0;46;0;39;100
"270940 Viçosa";2;0;0;11;0;8;21
"280010 Amparo de São Francisco";0;0;0;2;0;4;6
"280020 Aquidabã";1;1;0;2;0;8;12
"280030 Aracaju";159;79;7;816;1;1067;2129
"280040 Arauá";1;1;0;4;0;4;10
"280050 Areia Branca";3;1;0;14;0;15;33
"280060 Barra dos Coqueiros";7;4;0;29;0;30;70
"280067 Boquim";4;3;0;20;0;40;67
"280070 Brejo Grande";0;0;0;3;0;3;6
"280100 Campo do Brito";5;2;0;22;0;28;57
"280110 Canhoba";0;1;0;1;0;2;4
"280120 Canindé de São Francisco";2;1;0;24;0;12;39
"280130 Capela";4;3;1;20;0;22;50
"280140 Carira";2;0;0;8;0;12;22
"280150 Carmópolis";2;1;0;15;0;10;28
"280160 Cedro de São João";6;2;0;16;0;10;34
"280170 Cristinápolis";2;3;0;13;0;5;23
"280190 Cumbe";0;0;0;1;0;6;7
"280200 Divina Pastora";0;0;0;2;0;2;4
"280210 Estância";13;12;1;64;0;69;159
"280220 Feira Nova";0;0;0;5;0;0;5
"280230 Frei Paulo";1;0;0;5;0;9;15
"280250 General Maynard";1;1;0;3;0;1;6
"280260 Gracho Cardoso";0;0;0;2;0;1;3
"280270 Ilha das Flores";1;2;1;6;0;1;11
"280280 Indiaroba";0;1;0;4;0;7;12
"280290 Itabaiana";19;6;0;96;1;106;228
"280300 Itabaianinha";6;0;2;18;0;13;39
"280310 Itabi";2;0;0;0;0;2;4
"280320 Itaporanga d'Ajuda";3;2;0;20;0;11;36
"280330 Japaratuba";4;4;0;12;0;13;33
"280340 Japoatã";0;0;0;5;0;3;8
"280350 Lagarto";17;3;0;39;1;83;143
"280360 Laranjeiras";4;2;1;16;0;15;38
"280370 Macambira";1;0;0;0;0;1;2
"280380 Malhada dos Bois";1;0;0;2;0;2;5
"280390 Malhador";1;1;0;5;0;9;16
"280400 Maruim";3;1;0;6;0;12;22
"280410 Moita Bonita";1;0;0;7;0;7;15
"280420 Monte Alegre de Sergipe";2;0;0;4;0;4;10
"280430 Muribeca";1;1;0;1;0;1;4
"280440 Neópolis";0;2;0;9;0;8;19
"280445 Nossa Senhora Aparecida";0;0;0;1;0;4;5
"280450 Nossa Senhora da Glória";5;0;0;15;0;12;32
"280460 Nossa Senhora das Dores";5;1;0;18;0;17;41
"280480 Nossa Senhora do Socorro";31;17;0;195;0;180;423
"280490 Pacatuba";0;0;0;4;0;2;6
"280500 Pedra Mole";0;0;0;0;0;2;2
"280510 Pedrinhas";1;1;0;9;0;9;20
"280520 Pinhão";1;0;0;3;0;3;7
"280530 Pirambu";1;1;0;3;0;3;8
"280540 Poço Redondo";3;1;0;6;0;7;17
"280550 Poço Verde";3;1;0;7;0;5;16
"280560 Porto da Folha";3;1;0;3;0;4;11
"280570 Propriá";4;3;0;62;0;44;113
"280580 Riachão do Dantas";1;0;0;4;0;6;11
"280590 Riachuelo";0;2;0;4;0;2;8
"280600 Ribeirópolis";1;0;0;5;0;17;23
"280610 Rosário do Catete";1;0;0;3;0;14;18
"280620 Salgado";2;1;0;8;0;14;25
"280630 Santa Luzia do Itanhy";2;0;0;4;0;3;9
"280640 Santana do São Francisco";0;1;0;8;0;5;14
"280660 Santo Amaro das Brotas";1;1;0;7;0;3;12
"280670 São Cristóvão";11;10;0;70;0;63;154
"280680 São Domingos";0;0;1;2;0;11;14
"280690 São Francisco";0;0;0;4;0;2;6
"280700 São Miguel do Aleixo";0;0;0;1;0;0;1
"280710 Simão Dias";1;1;0;9;0;28;39
"280720 Siriri";0;0;0;3;0;2;5
"280730 Telha";0;1;0;1;0;1;3
"280740 Tobias Barreto";0;1;0;27;0;26;54
"280750 Tomar do Geru";0;0;0;4;0;6;10
"280760 Umbaúba";2;2;0;14;0;14;32
"280000 Município ignorado - SE";1;0;0;0;0;5;6
"290010 Abaíra";2;0;0;2;0;4;8
"290020 Abaré";0;0;0;0;0;1;1
"290030 Acajutiba";0;0;0;3;0;10;13
"290035 Adustina";0;0;0;4;0;3;7
"290040 Água Fria";1;0;0;2;0;1;4
"290060 Aiquara";0;2;0;2;1;3;8
"290070 Alagoinhas";19;12;0;39;1;139;210
"290080 Alcobaça";4;2;0;8;0;21;35
"290090 Almadina";0;0;0;0;0;1;1
"290100 Amargosa";1;3;0;19;0;25;48
"290110 Amélia Rodrigues";2;9;1;8;0;21;41
"290115 América Dourada";1;0;0;2;0;1;4
"290120 Anagé";3;0;0;1;0;5;9
"290130 Andaraí";1;1;0;1;0;7;10
"290135 Andorinha";1;0;0;3;0;2;6
"290140 Angical";3;1;0;1;0;3;8
"290150 Anguera";0;0;0;1;0;0;1
"290160 Antas";0;0;0;0;0;1;1
"290170 Antônio Cardoso";0;1;0;0;0;2;3
"290180 Antônio Gonçalves";0;1;0;1;0;2;4
"290190 Aporá";0;0;0;1;0;6;7
"290205 Araças";0;1;0;4;0;5;10
"290200 Aracatu";3;0;0;1;0;2;6
"290210 Araci";5;2;0;6;0;19;32
"290220 Aramari";0;1;0;1;0;1;3
"290225 Arataca";0;0;0;5;0;4;9
"290230 Aratuípe";1;0;0;2;0;6;9
"290240 Aurelino Leal";0;0;0;4;0;8;12
"290250 Baianópolis";0;0;0;0;0;2;2
"290260 Baixa Grande";0;0;0;2;0;5;7
"290265 Banzaê";0;0;0;2;0;4;6
"290270 Barra";4;3;0;9;0;16;32
"290280 Barra da Estiva";0;0;0;3;0;1;4
"290290 Barra do Choça";2;4;0;19;0;17;42
"290300 Barra do Mendes";1;0;0;0;0;5;6
"290310 Barra do Rocha";0;0;0;1;0;5;6
"290320 Barreiras";31;18;1;61;4;116;231
"290323 Barro Alto";2;2;0;0;0;1;5
"290330 Barro Preto";0;0;0;1;0;2;3
"290327 Barrocas";2;0;0;3;0;6;11
"290340 Belmonte";2;5;0;20;0;31;58
"290350 Belo Campo";5;2;0;7;0;5;19
"290360 Biritinga";0;0;0;1;0;1;2
"290370 Boa Nova";1;0;0;4;0;5;10
"290380 Boa Vista do Tupim";0;0;0;0;0;7;7
"290390 Bom Jesus da Lapa";6;11;4;21;0;50;92
"290395 Bom Jesus da Serra";0;0;0;0;0;3;3
"290400 Boninal";1;0;0;0;0;3;4
"290405 Bonito";0;0;0;1;0;2;3
"290410 Boquira";3;0;0;1;0;3;7
"290420 Botuporã";0;1;0;0;0;1;2
"290430 Brejões";1;1;0;4;0;12;18
"290440 Brejolândia";0;0;0;0;0;2;2
"290450 Brotas de Macaúbas";0;0;0;0;0;2;2
"290460 Brumado";14;1;0;31;0;17;63
"290470 Buerarema";4;0;0;3;0;22;29
"290475 Buritirama";0;0;0;1;0;2;3
"290480 Caatiba";1;1;0;1;0;4;7
"290485 Cabaceiras do Paraguaçu";0;1;0;11;0;3;15
"290490 Cachoeira";0;18;0;17;0;45;80
"290500 Caculé";4;2;0;3;0;5;14
"290510 Caém";0;0;0;1;0;3;4
"290515 Caetanos";1;0;0;1;0;1;3
"290520 Caetité";3;2;0;1;0;8;14
"290530 Cafarnaum";2;1;0;3;0;2;8
"290540 Cairu";2;7;0;2;0;15;26
"290550 Caldeirão Grande";0;1;0;1;0;8;10
"290560 Camacan";4;3;0;21;0;42;70
"290570 Camaçari";41;36;1;187;2;287;554
"290580 Camamu";2;0;0;2;0;6;10
"290590 Campo Alegre de Lourdes";0;1;0;6;0;5;12
"290600 Campo Formoso";5;4;0;9;0;19;37
"290610 Canápolis";0;0;0;0;0;1;1
"290620 Canarana";0;0;0;1;0;2;3
"290630 Canavieiras";1;0;0;10;0;38;49
"290640 Candeal";0;0;0;1;0;1;2
"290650 Candeias";11;26;0;53;0;119;209
"290660 Candiba";0;0;0;2;0;2;4
"290670 Cândido Sales";4;0;0;28;0;17;49
"290680 Cansanção";1;1;0;6;0;10;18
"290682 Canudos";0;0;0;0;0;2;2
"290685 Capela do Alto Alegre";1;0;0;3;0;2;6
"290687 Capim Grosso";4;3;0;17;0;21;45
"290689 Caraíbas";1;0;0;3;0;4;8
"290690 Caravelas";0;2;0;6;0;11;19
"290700 Cardeal da Silva";1;0;0;3;0;1;5
"290710 Carinhanha";3;1;0;2;0;2;8
"290720 Casa Nova";7;2;0;23;0;8;40
"290730 Castro Alves";0;0;0;12;0;6;18
"290750 Catu";4;4;0;11;0;38;57
"290755 Caturama";0;0;0;0;0;2;2
"290760 Central";0;0;0;3;0;7;10
"290780 Cícero Dantas";2;0;1;3;0;8;14
"290790 Cipó";2;0;1;5;0;7;15
"290800 Coaraci";1;1;0;2;0;9;13
"290810 Cocos";0;0;0;1;0;5;6
"290820 Conceição da Feira";0;1;0;3;0;10;14
"290830 Conceição do Almeida";1;0;0;1;0;3;5
"290840 Conceição do Coité";7;5;0;17;0;35;64
"290850 Conceição do Jacuípe";1;9;1;11;0;21;43
"290860 Conde";0;1;0;16;0;10;27
"290870 Condeúba";1;0;0;4;0;2;7
"290880 Contendas do Sincorá";0;1;0;0;0;0;1
"290890 Coração de Maria";0;2;0;1;0;7;10
"290910 Coribe";0;0;0;0;0;1;1
"290920 Coronel João Sá";0;0;0;4;0;1;5
"290930 Correntina";2;3;0;4;0;6;15
"290940 Cotegipe";1;0;0;0;0;2;3
"290950 Cravolândia";0;0;0;0;0;1;1
"290960 Crisópolis";1;0;0;1;0;5;7
"290970 Cristópolis";0;0;0;2;0;4;6
"290980 Cruz das Almas";6;12;0;14;0;45;77
"290990 Curaçá";4;2;0;12;0;7;25
"291000 Dário Meira";0;0;0;1;0;4;5
"291005 Dias d'Ávila";12;17;0;50;0;71;150
"291010 Dom Basílio";5;0;0;1;0;1;7
"291020 Dom Macedo Costa";0;0;0;0;0;3;3
"291030 Elísio Medrado";1;0;0;2;0;3;6
"291040 Encruzilhada";1;0;0;2;0;0;3
"291050 Entre Rios";6;1;0;9;0;25;41
"290050 Érico Cardoso";1;0;0;3;0;2;6
"291060 Esplanada";3;0;0;8;0;13;24
"291070 Euclides da Cunha";4;1;1;7;0;25;38
